SignId,Id,X,Y,Z,Retro,angle,distance,UTC
1,37984,33.7872551,-84.4055621,245.258,0.76,-0.10645,7.843,66090.469
1,37985,33.7872550,-84.4055620,245.178,0.75,-0.11672,7.840,66090.469
1,37986,33.7872550,-84.4055619,245.098,0.76,-0.12699,7.842,66090.469
1,37987,33.7872549,-84.4055617,245.019,0.75,-0.13726,7.840,66090.469
1,37988,33.7872548,-84.4055615,244.941,0.75,-0.14754,7.831,66090.470
1,37989,33.7872547,-84.4055614,244.863,0.74,-0.15781,7.828,66090.470
1,37990,33.7872547,-84.4055612,244.784,0.75,-0.16808,7.825,66090.470
1,37991,33.7872546,-84.4055611,244.704,0.75,-0.17835,7.831,66090.470
1,37992,33.7872546,-84.4055610,244.623,0.76,-0.18863,7.842,66090.470
1,37993,33.7872545,-84.4055607,244.549,0.75,-0.19890,7.825,66090.470
1,37994,33.7872544,-84.4055607,244.468,0.74,-0.20917,7.837,66090.470
1,37995,33.7872544,-84.4055606,244.386,0.69,-0.21945,7.850,66090.470
1,38051,33.7872547,-84.4055620,245.274,0.76,-0.10654,7.716,66090.483
1,38052,33.7872546,-84.4055618,245.196,0.75,-0.11682,7.710,66090.483
1,38053,33.7872545,-84.4055617,245.117,0.76,-0.12709,7.711,66090.483
1,38054,33.7872545,-84.4055617,245.039,0.74,-0.13736,7.715,66090.483
1,38055,33.7872545,-84.4055616,244.960,0.74,-0.14763,7.717,66090.483
1,38056,33.7872544,-84.4055613,244.884,0.75,-0.15790,7.709,66090.483
1,38057,33.7872543,-84.4055613,244.805,0.75,-0.16818,7.715,66090.483
1,38058,33.7872543,-84.4055612,244.726,0.75,-0.17845,7.720,66090.483
1,38059,33.7872541,-84.4055608,244.654,0.75,-0.18872,7.694,66090.483
1,38060,33.7872542,-84.4055610,244.569,0.74,-0.19899,7.731,66090.483
1,38061,33.7872540,-84.4055606,244.496,0.74,-0.20927,7.712,66090.483
1,38062,33.7872540,-84.4055605,244.417,0.74,-0.21954,7.720,66090.483
1,38118,33.7872543,-84.4055620,245.289,0.73,-0.10654,7.603,66090.496
1,38119,33.7872543,-84.4055619,245.212,0.74,-0.11681,7.601,66090.496
1,38120,33.7872542,-84.4055618,245.135,0.75,-0.12708,7.598,66090.496
1,38121,33.7872541,-84.4055616,245.059,0.75,-0.13735,7.593,66090.496
1,38122,33.7872541,-84.4055617,244.979,0.75,-0.14763,7.609,66090.496
1,38123,33.7872540,-84.4055614,244.905,0.75,-0.15790,7.593,66090.496
1,38124,33.7872540,-84.4055614,244.826,0.75,-0.16817,7.609,66090.496
1,38125,33.7872539,-84.4055612,244.749,0.75,-0.17844,7.608,66090.496
1,38126,33.7872538,-84.4055609,244.676,0.75,-0.18871,7.594,66090.496
1,38127,33.7872538,-84.4055609,244.597,0.75,-0.19899,7.604,66090.496
1,38128,33.7872537,-84.4055607,244.521,0.75,-0.20926,7.604,66090.496
1,38129,33.7872536,-84.4055605,244.446,0.75,-0.21953,7.603,66090.496
1,38188,33.7872539,-84.4055621,245.305,0.57,-0.10643,7.490,66090.509
1,38189,33.7872539,-84.4055619,245.230,0.75,-0.11671,7.478,66090.509
1,38190,33.7872538,-84.4055616,245.156,0.75,-0.12698,7.467,66090.509
1,38191,33.7872538,-84.4055618,245.076,0.75,-0.13725,7.492,66090.509
1,38192,33.7872537,-84.4055615,245.003,0.75,-0.14752,7.477,66090.509
1,38193,33.7872536,-84.4055614,244.927,0.74,-0.15779,7.479,66090.509
1,38194,33.7872536,-84.4055613,244.852,0.75,-0.16806,7.477,66090.510
1,38195,33.7872535,-84.4055611,244.776,0.75,-0.17833,7.478,66090.510
1,38196,33.7872534,-84.4055610,244.701,0.75,-0.18860,7.482,66090.510
1,38197,33.7872534,-84.4055610,244.623,0.75,-0.19888,7.492,66090.510
1,38198,33.7872533,-84.4055607,244.550,0.75,-0.20915,7.486,66090.510
1,38199,33.7872532,-84.4055606,244.474,0.75,-0.21942,7.491,66090.510
1,38200,33.7872532,-84.4055605,244.397,0.74,-0.22969,7.499,66090.510
1,38253,33.7872535,-84.4055619,245.247,0.76,-0.11680,7.363,66090.523
1,38254,33.7872534,-84.4055618,245.172,0.75,-0.12707,7.366,66090.523
1,38255,33.7872534,-84.4055617,245.097,0.75,-0.13734,7.367,66090.523
1,38256,33.7872533,-84.4055616,245.022,0.75,-0.14761,7.371,66090.523
1,38257,33.7872533,-84.4055615,244.948,0.75,-0.15789,7.366,66090.523
1,38258,33.7872531,-84.4055612,244.877,0.74,-0.16816,7.348,66090.523
1,38259,33.7872531,-84.4055612,244.800,0.74,-0.17843,7.364,66090.523
1,38260,33.7872531,-84.4055611,244.725,0.74,-0.18870,7.369,66090.523
1,38261,33.7872530,-84.4055609,244.650,0.75,-0.19897,7.371,66090.523
1,38262,33.7872529,-84.4055607,244.579,0.75,-0.20924,7.362,66090.523
1,38263,33.7872528,-84.4055605,244.506,0.75,-0.21951,7.361,66090.523
1,38264,33.7872528,-84.4055605,244.428,0.75,-0.22978,7.381,66090.523
1,38316,33.7872531,-84.4055618,245.266,0.76,-0.11680,7.238,66090.536
1,38317,33.7872530,-84.4055616,245.194,0.74,-0.12707,7.228,66090.536
