SignId,Id,X,Y,Z,Retro,UTC,
1,37456,33.7872584,-84.4055621,244.938,43690.00,66090.34963,
1,37457,33.7872583,-84.4055620,244.848,47545.00,66090.34966,
1,37458,33.7872582,-84.4055617,244.759,48830.00,66090.34970,
1,37459,33.7872581,-84.4055615,244.672,49344.00,66090.34973,
1,37520,33.7872580,-84.4055621,245.047,49087.00,66090.36291,
1,37521,33.7872580,-84.4055620,244.957,49344.00,66090.36294,
1,37522,33.7872579,-84.4055618,244.868,49087.00,66090.36298,
1,37523,33.7872578,-84.4055617,244.780,49858.00,66090.36301,
1,37524,33.7872578,-84.4055615,244.691,49344.00,66090.36304,
1,37525,33.7872577,-84.4055613,244.604,49087.00,66090.36307,
1,37588,33.7872577,-84.4055621,245.063,49087.00,66090.37623,
1,37589,33.7872576,-84.4055619,244.976,49087.00,66090.37626,
1,37590,33.7872575,-84.4055618,244.888,49087.00,66090.37629,
1,37591,33.7872574,-84.4055615,244.802,49344.00,66090.37633,
1,37592,33.7872574,-84.4055615,244.712,49344.00,66090.37636,
1,37593,33.7872573,-84.4055613,244.626,49344.00,66090.37639,
1,37594,33.7872572,-84.4055612,244.538,46260.00,66090.37642,
1,37656,33.7872573,-84.4055622,245.078,50115.00,66090.38954,
1,37657,33.7872572,-84.4055620,244.992,49601.00,66090.38957,
1,37658,33.7872572,-84.4055619,244.904,48830.00,66090.38960,
1,37659,33.7872571,-84.4055617,244.819,49344.00,66090.38964,
1,37660,33.7872570,-84.4055614,244.735,49344.00,66090.38967,
1,37661,33.7872569,-84.4055612,244.651,49087.00,66090.38970,
1,37662,33.7872568,-84.4055610,244.565,49344.00,66090.38973,
1,37725,33.7872570,-84.4055622,245.179,46003.00,66090.40282,
1,37726,33.7872569,-84.4055621,245.094,49087.00,66090.40285,
1,37727,33.7872568,-84.4055619,245.009,49344.00,66090.40288,
1,37728,33.7872568,-84.4055618,244.924,49344.00,66090.40291,
1,37729,33.7872567,-84.4055617,244.837,49344.00,66090.40295,
1,37730,33.7872566,-84.4055614,244.756,49087.00,66090.40298,
1,37731,33.7872565,-84.4055613,244.670,48830.00,66090.40301,
1,37732,33.7872565,-84.4055612,244.584,49087.00,66090.40305,
1,37733,33.7872564,-84.4055609,244.502,49344.00,66090.40308,
1,37791,33.7872566,-84.4055622,245.194,49087.00,66090.41613,
1,37792,33.7872565,-84.4055620,245.112,49601.00,66090.41616,
1,37793,33.7872565,-84.4055619,245.027,49344.00,66090.41620,
1,37794,33.7872565,-84.4055619,244.940,49344.00,66090.41623,
1,37795,33.7872563,-84.4055616,244.860,49087.00,66090.41626,
1,37796,33.7872563,-84.4055615,244.775,48830.00,66090.41630,
1,37797,33.7872562,-84.4055612,244.693,49344.00,66090.41633,
1,37798,33.7872561,-84.4055612,244.607,49344.00,66090.41636,
1,37799,33.7872560,-84.4055610,244.525,49344.00,66090.41639,
1,37800,33.7872560,-84.4055609,244.439,49344.00,66090.41643,
1,37856,33.7872562,-84.4055621,245.212,49344.00,66090.42944,
1,37857,33.7872562,-84.4055622,245.127,49601.00,66090.42948,
1,37858,33.7872561,-84.4055618,245.047,49087.00,66090.42951,
1,37859,33.7872560,-84.4055617,244.964,49344.00,66090.42954,
1,37860,33.7872560,-84.4055616,244.880,49087.00,66090.42958,
1,37861,33.7872559,-84.4055613,244.801,49344.00,66090.42961,
1,37862,33.7872558,-84.4055613,244.716,48830.00,66090.42964,
1,37863,33.7872557,-84.4055611,244.634,49087.00,66090.42967,
1,37864,33.7872556,-84.4055609,244.553,49087.00,66090.42971,
1,37865,33.7872556,-84.4055609,244.468,49087.00,66090.42974,
1,37922,33.7872559,-84.4055622,245.226,49344.00,66090.44275,
1,37923,33.7872558,-84.4055619,245.146,48830.00,66090.44279,
1,37924,33.7872557,-84.4055618,245.064,49601.00,66090.44282,
1,37925,33.7872556,-84.4055617,244.983,49087.00,66090.44285,
1,37926,33.7872556,-84.4055617,244.897,49087.00,66090.44289,
1,37927,33.7872555,-84.4055615,244.818,49344.00,66090.44292,
1,37928,33.7872554,-84.4055613,244.738,49344.00,66090.44295,
1,37929,33.7872554,-84.4055612,244.656,49087.00,66090.44298,
1,37930,33.7872554,-84.4055611,244.572,49601.00,66090.44302,
1,37931,33.7872552,-84.4055607,244.495,48830.00,66090.44305,
1,37932,33.7872552,-84.4055608,244.410,49087.00,66090.44308,
1,37986,33.7872554,-84.4055619,245.244,49344.00,66090.45607,
1,37987,33.7872554,-84.4055620,245.160,49344.00,66090.45610,
1,37988,33.7872554,-84.4055619,245.079,49344.00,66090.45613,
1,37989,33.7872553,-84.4055617,245.000,49344.00,66090.45617,
1,37990,33.7872552,-84.4055616,244.920,49344.00,66090.45620,
1,37991,33.7872552,-84.4055615,244.838,48830.00,66090.45623,
1,37992,33.7872551,-84.4055613,244.758,48830.00,66090.45626,
1,37993,33.7872550,-84.4055611,244.679,49344.00,66090.45630,
1,37994,33.7872550,-84.4055610,244.598,49087.00,66090.45633,
1,37995,33.7872548,-84.4055607,244.521,49344.00,66090.45636,
1,37996,33.7872548,-84.4055607,244.439,49087.00,66090.45640,
1,38049,33.7872551,-84.4055621,245.257,49858.00,66090.46938,
1,38050,33.7872550,-84.4055620,245.178,49087.00,66090.46941,
1,38051,33.7872550,-84.4055619,245.098,49601.00,66090.46944,
1,38052,33.7872549,-84.4055617,245.019,49087.00,66090.46948,
1,38053,33.7872548,-84.4055615,244.941,49344.00,66090.46951,
1,38054,33.7872547,-84.4055614,244.863,48830.00,66090.46954,
1,38055,33.7872547,-84.4055612,244.784,49087.00,66090.46958,
1,38056,33.7872546,-84.4055611,244.704,49344.00,66090.46961,
1,38057,33.7872546,-84.4055610,244.623,49601.00,66090.46964,
1,38058,33.7872545,-84.4055607,244.548,49087.00,66090.46967,
1,38059,33.7872544,-84.4055607,244.467,48573.00,66090.46971,
1,38060,33.7872544,-84.4055606,244.386,45232.00,66090.46974,
1,38116,33.7872547,-84.4055620,245.273,49601.00,66090.48269,
1,38117,33.7872546,-84.4055618,245.196,49344.00,66090.48272,
1,38118,33.7872545,-84.4055617,245.117,49601.00,66090.48275,
1,38119,33.7872545,-84.4055617,245.038,48316.00,66090.48279,
1,38120,33.7872545,-84.4055616,244.960,48830.00,66090.48282,
1,38121,33.7872544,-84.4055613,244.883,49087.00,66090.48285,
1,38122,33.7872543,-84.4055613,244.804,49344.00,66090.48289,
1,38123,33.7872543,-84.4055612,244.726,49344.00,66090.48292,
1,38124,33.7872541,-84.4055608,244.654,49087.00,66090.48295,
1,38125,33.7872542,-84.4055610,244.568,48830.00,66090.48298,
1,38126,33.7872540,-84.4055606,244.496,48830.00,66090.48302,
1,38127,33.7872540,-84.4055605,244.417,48573.00,66090.48305,
1,38183,33.7872543,-84.4055620,245.289,48059.00,66090.49600,
1,38184,33.7872543,-84.4055619,245.212,48830.00,66090.49603,
1,38185,33.7872542,-84.4055618,245.135,49087.00,66090.49607,
1,38186,33.7872541,-84.4055616,245.059,49087.00,66090.49610,
1,38187,33.7872541,-84.4055617,244.979,49344.00,66090.49613,
1,38188,33.7872540,-84.4055614,244.905,49087.00,66090.49617,
1,38189,33.7872540,-84.4055614,244.825,49344.00,66090.49620,
1,38190,33.7872539,-84.4055612,244.749,49087.00,66090.49623,
1,38191,33.7872538,-84.4055609,244.676,49344.00,66090.49626,
1,38192,33.7872538,-84.4055609,244.597,49344.00,66090.49630,
1,38193,33.7872537,-84.4055607,244.521,49344.00,66090.49633,
1,38194,33.7872536,-84.4055605,244.446,49087.00,66090.49636,
1,38254,33.7872539,-84.4055619,245.230,49344.00,66090.50935,
1,38255,33.7872538,-84.4055616,245.156,49087.00,66090.50938,
1,38256,33.7872538,-84.4055618,245.076,49344.00,66090.50941,
1,38257,33.7872537,-84.4055615,245.003,49087.00,66090.50945,
1,38258,33.7872536,-84.4055614,244.927,48830.00,66090.50948,
1,38259,33.7872536,-84.4055613,244.852,49087.00,66090.50951,
1,38260,33.7872535,-84.4055611,244.776,49344.00,66090.50954,
1,38261,33.7872534,-84.4055610,244.700,49344.00,66090.50958,
1,38262,33.7872534,-84.4055610,244.623,49344.00,66090.50961,
1,38263,33.7872533,-84.4055607,244.550,49087.00,66090.50964,
1,38264,33.7872532,-84.4055606,244.474,49087.00,66090.50967,
1,38265,33.7872532,-84.4055605,244.397,48830.00,66090.50971,
1,38318,33.7872535,-84.4055619,245.247,49601.00,66090.52266,
1,38319,33.7872534,-84.4055618,245.171,49087.00,66090.52269,
1,38320,33.7872534,-84.4055617,245.097,49344.00,66090.52272,
1,38321,33.7872533,-84.4055616,245.021,49087.00,66090.52276,
1,38322,33.7872533,-84.4055615,244.948,49087.00,66090.52279,
1,38323,33.7872531,-84.4055612,244.877,48573.00,66090.52282,
1,38324,33.7872531,-84.4055612,244.800,48830.00,66090.52285,
1,38325,33.7872531,-84.4055611,244.725,48830.00,66090.52289,
1,38326,33.7872530,-84.4055609,244.650,49087.00,66090.52292,
1,38327,33.7872529,-84.4055607,244.579,49344.00,66090.52295,
1,38328,33.7872528,-84.4055605,244.506,49087.00,66090.52299,
1,38329,33.7872528,-84.4055605,244.427,49344.00,66090.52302,
1,38381,33.7872531,-84.4055618,245.266,49858.00,66090.53597,
1,38382,33.7872530,-84.4055616,245.194,48830.00,66090.53600,
1,38383,33.7872529,-84.4055615,245.121,49087.00,66090.53604,
1,38384,33.7872529,-84.4055616,245.044,49344.00,66090.53607,
1,38385,33.7872529,-84.4055614,244.972,49087.00,66090.53610,
1,38386,33.7872528,-84.4055613,244.899,48830.00,66090.53614,
1,38387,33.7872527,-84.4055611,244.827,49087.00,66090.53617,
1,38388,33.7872527,-84.4055611,244.752,49087.00,66090.53620,
1,38389,33.7872526,-84.4055610,244.678,49344.00,66090.53623,
1,38390,33.7872525,-84.4055607,244.608,49087.00,66090.53627,
1,38391,33.7872525,-84.4055605,244.536,49344.00,66090.53630,
1,38392,33.7872524,-84.4055605,244.461,49087.00,66090.53633,
1,38445,33.7872527,-84.4055618,245.285,48573.00,66090.54928,
1,38446,33.7872526,-84.4055617,245.213,49601.00,66090.54931,
1,38447,33.7872525,-84.4055615,245.142,49344.00,66090.54935,
1,38448,33.7872525,-84.4055615,245.069,49087.00,66090.54938,
1,38449,33.7872525,-84.4055614,244.996,49344.00,66090.54941,
1,38450,33.7872524,-84.4055613,244.923,49344.00,66090.54944,
1,38451,33.7872524,-84.4055612,244.852,49087.00,66090.54948,
1,38452,33.7872523,-84.4055610,244.781,49344.00,66090.54951,
1,38453,33.7872523,-84.4055610,244.707,48830.00,66090.54954,
1,38454,33.7872522,-84.4055608,244.636,49087.00,66090.54957,
1,38455,33.7872521,-84.4055607,244.564,49601.00,66090.54961,
