SignId,Id,X,Y,Z,Retro,UTC,R,G,B,H,S,B,pX,pY,
1,428546,33.7734585,-84.3991063,297.579,0.73,64527.82014,114,55,68,346.0,0.518,0.447,0.514,0.620,
1,428547,33.7734584,-84.3991062,297.440,0.75,64527.82018,246,192,95,38.0,0.616,0.965,0.510,0.745,
1,428548,33.7734584,-84.3991063,297.301,0.75,64527.82021,210,185,91,48.0,0.569,0.824,0.506,0.871,
1,428549,33.7734584,-84.3991065,297.163,0.73,64527.82024,206,170,74,44.0,0.639,0.808,0.500,0.995,
1,428674,33.7734584,-84.3991063,298.265,0.71,64527.83330,171,160,108,50.0,0.369,0.671,0.506,0.000,
1,428675,33.7734583,-84.3991063,298.125,0.73,64527.83333,105,136,66,86.0,0.514,0.533,0.499,0.126,
1,428679,33.7734581,-84.3991064,297.573,0.74,64527.83346,123,128,89,68.0,0.306,0.502,0.480,0.625,
1,428680,33.7734581,-84.3991064,297.435,0.75,64527.83349,248,197,99,40.0,0.600,0.973,0.480,0.750,
1,428681,33.7734580,-84.3991065,297.298,0.71,64527.83353,239,179,81,38.0,0.663,0.937,0.469,0.874,
1,428682,33.7734580,-84.3991065,297.160,0.75,64527.83356,156,112,82,24.0,0.475,0.612,0.469,0.998,
1,428807,33.7734580,-84.3991065,298.254,0.74,64527.84662,212,161,108,30.0,0.490,0.831,0.469,0.010,
1,428808,33.7734580,-84.3991065,298.116,0.73,64527.84665,254,182,84,34.0,0.671,0.996,0.469,0.135,
1,428810,33.7734579,-84.3991067,297.843,0.69,64527.84672,69,64,59,30.0,0.145,0.271,0.455,0.381,
1,428812,33.7734578,-84.3991067,297.569,0.71,64527.84678,67,51,56,342.0,0.239,0.263,0.447,0.629,
1,428813,33.7734577,-84.3991066,297.432,0.75,64527.84681,238,207,90,48.0,0.624,0.933,0.442,0.752,
1,428814,33.7734577,-84.3991067,297.296,0.71,64527.84685,245,190,90,38.0,0.631,0.961,0.439,0.875,
1,428815,33.7734577,-84.3991068,297.159,0.74,64527.84688,52,50,68,246.0,0.267,0.267,0.436,0.999,
1,428940,33.7734577,-84.3991068,298.246,0.72,64527.85993,243,235,227,30.0,0.067,0.953,0.436,0.017,
1,428941,33.7734576,-84.3991068,298.109,0.70,64527.85997,247,200,94,42.0,0.620,0.969,0.428,0.141,
1,428942,33.7734577,-84.3991070,297.975,0.70,64527.86000,250,200,94,40.0,0.624,0.980,0.430,0.262,
1,428943,33.7734575,-84.3991068,297.837,0.68,64527.86003,63,47,65,294.0,0.278,0.255,0.420,0.387,
1,428944,33.7734575,-84.3991069,297.702,0.75,64527.86007,254,204,90,42.0,0.647,0.996,0.417,0.509,
1,428946,33.7734574,-84.3991069,297.430,0.74,64527.86013,233,199,96,46.0,0.588,0.914,0.409,0.754,
1,428947,33.7734574,-84.3991070,297.295,0.74,64527.86016,244,206,102,44.0,0.580,0.957,0.406,0.876,
1,428948,33.7734574,-84.3991071,297.160,0.71,64527.86020,68,62,80,260.0,0.224,0.314,0.403,0.998,
1,429074,33.7734575,-84.3991072,298.236,0.71,64527.87325,68,73,110,232.0,0.380,0.431,0.408,0.026,
1,429075,33.7734572,-84.3991069,298.098,0.74,64527.87328,251,205,97,42.0,0.612,0.984,0.394,0.151,
1,429076,33.7734572,-84.3991070,297.963,0.74,64527.87332,252,210,104,42.0,0.588,0.988,0.391,0.273,
1,429078,33.7734572,-84.3991071,297.695,0.74,64527.87338,248,203,91,42.0,0.631,0.973,0.387,0.515,
1,429079,33.7734571,-84.3991071,297.560,0.73,64527.87341,252,198,81,42.0,0.678,0.988,0.380,0.637,
1,429080,33.7734571,-84.3991072,297.426,0.75,64527.87345,208,176,91,44.0,0.561,0.816,0.376,0.758,
1,429081,33.7734570,-84.3991071,297.291,0.74,64527.87348,129,56,69,350.0,0.565,0.506,0.372,0.880,
1,429082,33.7734571,-84.3991074,297.158,0.68,64527.87351,63,57,76,258.0,0.251,0.298,0.370,1.000,
1,429209,33.7734570,-84.3991073,298.091,0.74,64527.88660,237,213,73,52.0,0.690,0.929,0.365,0.157,
1,429210,33.7734569,-84.3991072,297.956,0.74,64527.88663,252,208,95,44.0,0.624,0.988,0.361,0.279,
1,429211,33.7734569,-84.3991073,297.822,0.73,64527.88667,234,186,89,40.0,0.620,0.918,0.358,0.400,
1,429212,33.7734568,-84.3991072,297.689,0.74,64527.88670,252,209,87,44.0,0.655,0.988,0.353,0.520,
1,429213,33.7734568,-84.3991073,297.555,0.73,64527.88673,252,207,96,42.0,0.620,0.988,0.350,0.641,
1,429214,33.7734567,-84.3991073,297.423,0.75,64527.88677,103,134,99,114.0,0.263,0.525,0.342,0.761,
1,429215,33.7734567,-84.3991073,297.289,0.74,64527.88680,70,79,94,218.0,0.255,0.369,0.342,0.882,
1,429342,33.7734567,-84.3991076,298.083,0.73,64527.89992,73,71,79,256.0,0.102,0.310,0.333,0.164,
1,429343,33.7734566,-84.3991075,297.950,0.73,64527.89995,252,208,93,44.0,0.631,0.988,0.328,0.285,
1,429344,33.7734566,-84.3991075,297.817,0.74,64527.89998,245,207,105,44.0,0.573,0.961,0.328,0.405,
1,429345,33.7734565,-84.3991075,297.685,0.74,64527.90002,250,211,94,46.0,0.624,0.980,0.320,0.524,
1,429346,33.7734565,-84.3991076,297.553,0.73,64527.90005,255,211,95,44.0,0.627,1.000,0.317,0.643,
1,429347,33.7734564,-84.3991075,297.421,0.74,64527.90008,121,146,95,90.0,0.349,0.573,0.313,0.762,
1,429348,33.7734564,-84.3991076,297.289,0.73,64527.90012,70,53,60,336.0,0.243,0.275,0.309,0.882,
1,429476,33.7734564,-84.3991078,298.073,0.68,64527.91324,224,174,110,34.0,0.510,0.878,0.303,0.173,
1,429477,33.7734563,-84.3991078,297.941,0.74,64527.91327,253,213,98,44.0,0.612,0.992,0.295,0.293,
1,429478,33.7734563,-84.3991078,297.810,0.73,64527.91330,253,213,101,44.0,0.600,0.992,0.295,0.411,
1,429479,33.7734562,-84.3991078,297.678,0.74,64527.91333,252,208,104,42.0,0.588,0.988,0.287,0.530,
1,429480,33.7734562,-84.3991079,297.547,0.72,64527.91337,253,216,104,46.0,0.588,0.992,0.284,0.649,
1,429481,33.7734561,-84.3991078,297.416,0.74,64527.91340,251,192,125,32.0,0.502,0.984,0.280,0.767,
1,429482,33.7734561,-84.3991080,297.286,0.68,64527.91343,61,61,69,240.0,0.118,0.271,0.274,0.884,
1,429609,33.7734560,-84.3991080,298.064,0.67,64527.92656,124,137,163,220.0,0.239,0.639,0.266,0.182,
1,429610,33.7734559,-84.3991079,297.933,0.74,64527.92659,253,214,113,44.0,0.553,0.992,0.261,0.300,
1,429611,33.7734559,-84.3991080,297.803,0.74,64527.92662,250,204,100,42.0,0.600,0.980,0.258,0.417,
1,429612,33.7734559,-84.3991081,297.673,0.73,64527.92665,247,203,95,42.0,0.616,0.969,0.255,0.535,
1,429613,33.7734558,-84.3991081,297.543,0.72,64527.92669,255,221,98,48.0,0.616,1.000,0.247,0.652,
1,429614,33.7734558,-84.3991081,297.413,0.74,64527.92672,220,129,83,20.0,0.624,0.863,0.247,0.770,
1,429744,33.7734556,-84.3991082,297.926,0.73,64527.93990,252,212,90,46.0,0.643,0.988,0.228,0.306,
1,429745,33.7734556,-84.3991083,297.798,0.72,64527.93994,255,213,113,42.0,0.557,1.000,0.225,0.422,
1,429746,33.7734555,-84.3991082,297.668,0.74,64527.93997,255,216,109,44.0,0.573,1.000,0.220,0.539,
1,429747,33.7734555,-84.3991083,297.540,0.72,64527.94000,251,213,104,44.0,0.584,0.984,0.217,0.655,
1,429748,33.7734554,-84.3991082,297.411,0.72,64527.94004,68,66,79,250.0,0.165,0.310,0.212,0.771,
1,429878,33.7734554,-84.3991087,297.919,0.69,64527.95322,240,201,92,44.0,0.616,0.941,0.199,0.313,
1,429879,33.7734553,-84.3991085,297.789,0.73,64527.95325,253,207,104,42.0,0.588,0.992,0.196,0.430,
