,sign_id,lat_sign,long_sign,alt_sign,index,lidar_lat,lidar_long,lidar_alt,retro,mutcd_code,count,car_lat,car_long,car_alt,overhead,alt_diff,x_cart,y_cart,z_cart,frame,cluster_group
7335,2022,33.88163276,-84.25014739,302.7580655,154636,33.881669,-84.250208707,301.5364,0.404,W4-1,158,33.88167531,-84.25003537,302.9,Ground,1,9515.844302627036,-89.11030434060768,-94.41192666789635,4968,-1
7336,2022,33.88163276,-84.25014739,302.7580655,154637,33.881668633000004,-84.250208254,301.5374,0.412,W4-1,158,33.88167531,-84.25003537,302.9,Ground,1,9515.803594115574,-89.068394507213,-94.41298820405838,4968,-1
7337,2022,33.88163276,-84.25014739,302.7580655,154638,33.881668186999995,-84.250207824,301.5427,0.42,W4-1,158,33.88167531,-84.25003537,302.9,Ground,1,9515.75412895494,-89.02861270832209,-94.41836282743988,4968,-1
7338,2022,33.88163276,-84.25014739,302.7580655,154639,33.881667865,-84.250207357,301.5394,0.408,W4-1,158,33.88167531,-84.25003537,302.9,Ground,1,9515.718405635322,-88.98540752871365,-94.41511691198411,4968,-1
7339,2022,33.88163276,-84.25014739,302.7580655,154640,33.88166714,-84.250206451,301.546,0.4,W4-1,158,33.88167531,-84.25003537,302.9,Ground,1,9515.6379938268,-88.90158791543504,-94.4218384819771,4968,-1
7340,2022,33.88163276,-84.25014739,302.7580655,154641,33.881666597,-84.250206038,301.5421,0.4,W4-1,158,33.88167531,-84.25003537,302.9,Ground,1,9515.577755146413,-88.86337887845686,-94.41802919999391,4968,-1
7341,2022,33.88163276,-84.25014739,302.7580655,154643,33.881664938,-84.250203436,301.54200000000003,0.404,W4-1,158,33.88167531,-84.25003537,302.9,Ground,1,9515.393727534174,-88.6226511948606,-94.41820807197216,4968,-1
7342,2022,33.88163276,-84.25014739,302.7580655,154647,33.881658972,-84.25019775,301.5218,0.416,W4-1,158,33.88167531,-84.25003537,302.9,Ground,1,9514.731911544972,-88.09660501829931,-94.3990061575312,4968,-1
7343,2022,33.88163276,-84.25014739,302.7580655,154648,33.881658291,-84.250197027,301.5246,0.404,W4-1,158,33.88167531,-84.25003537,302.9,Ground,1,9514.656374929731,-88.02971591414078,-94.40192016786537,4968,-1
7344,2022,33.88163276,-84.25014739,302.7580655,154649,33.881657317,-84.250196379,301.5308,0.408,W4-1,158,33.88167531,-84.25003537,302.9,Ground,1,9514.54834232955,-87.96976593665545,-94.4082827311952,4968,-1
7345,2022,33.88163276,-84.25014739,302.7580655,154650,33.881811599,-84.25010746699999,300.4715,0.4,W4-1,158,33.88167531,-84.25003537,302.9,Ground,2,9531.66047226044,-79.74373122549095,-93.32344874681586,4968,-1
7346,2022,33.88163276,-84.25014739,302.7580655,154651,33.881614107,-84.250133065,303.7309,0.486,W4-1,158,33.88167531,-84.25003537,302.9,Ground,-1,9509.758496033774,-82.11220968857938,-96.61563206542141,4968,-1
7347,2022,33.88163276,-84.25014739,302.7580655,154653,33.881614207,-84.25013254699999,303.7281,0.722,W4-1,158,33.88167531,-84.25003537,302.9,Ground,-1,9509.769583974548,-82.0642856720108,-96.6128160876178,4968,-1
7348,2022,33.88163276,-84.25014739,302.7580655,154655,33.881614361,-84.250132015,303.7277,0.7609999999999999,W4-1,158,33.88167531,-84.25003537,302.9,Ground,-1,9509.786665467096,-82.01506639686059,-96.61239116065359,4968,-1
7349,2022,33.88163276,-84.25014739,302.7580655,154657,33.881614381999995,-84.250131517,303.7222,0.784,W4-1,158,33.88167531,-84.25003537,302.9,Ground,-1,9509.788986275738,-81.9689927645349,-96.60688827379452,4968,-1
7350,2022,33.88163276,-84.25014739,302.7580655,154658,33.881614532,-84.25013131600001,303.4466,0.447,W4-1,158,33.88167531,-84.25003537,302.9,Ground,-1,9509.805212547635,-81.95039313778805,-96.33126392535698,4968,-1
7351,2022,33.88163276,-84.25014739,302.7580655,154660,33.881614675,-84.25013094399999,303.7187,0.784,W4-1,158,33.88167531,-84.25003537,302.9,Ground,-1,9509.8214817333,-81.91598011188006,-96.60334032683298,4968,-1
7352,2022,33.88163276,-84.25014739,302.7580655,154661,33.881614641,-84.250130795,303.445,0.635,W4-1,158,33.88167531,-84.25003537,302.9,Ground,-1,9509.817300610612,-81.90219157900056,-96.32964645448759,4968,-1
7353,2022,33.88163276,-84.25014739,302.7580655,154663,33.881614669,-84.250130615,303.9912,0.6509999999999999,W4-1,158,33.88167531,-84.25003537,302.9,Ground,-1,9509.821223662682,-81.88554547121338,-96.87584140884212,4968,-1
7354,2022,33.88163276,-84.25014739,302.7580655,154664,33.881614768,-84.250130429,303.7183,0.792,W4-1,158,33.88167531,-84.25003537,302.9,Ground,-1,9509.83179678925,-81.86833368617333,-96.60292550355379,4968,-1
7355,2022,33.88163276,-84.25014739,302.7580655,154665,33.881614848000005,-84.250130248,303.4459,0.737,W4-1,158,33.88167531,-84.25003537,302.9,Ground,-1,9509.8402630848,-81.85158451387106,-96.3305127442774,4968,-1
7356,2022,33.88163276,-84.25014739,302.7580655,154667,33.881614908,-84.250130054,303.9836,0.7490000000000001,W4-1,158,33.88167531,-84.25003537,302.9,Ground,-1,9509.847723023177,-81.83364302088273,-96.86820241446743,4968,-1
7357,2022,33.88163276,-84.25014739,302.7580655,154668,33.881615078,-84.25012985,303.712,0.7879999999999999,W4-1,158,33.88167531,-84.25003537,302.9,Ground,-1,9509.866173785022,-81.8147658790612,-96.5965747440772,4968,-1
