,sign_id,lat_sign,long_sign,alt_sign,index,lidar_lat,lidar_long,lidar_alt,retro,mutcd_code,count,overhead_type,x_cart,y_cart,z_cart,frame,physical_condition,cluster_group
0,1953,33.79588248,-84.24924553,311.1897011000001,112864,33.79586241,-84.24922674,313.69,0.733,M1-1,32,Ground,-2.2262481206657903,1.7401370609359397,-113.68999937380077,6897,Dirty,-1
1,1953,33.79588248,-84.24924553,311.1897011000001,112865,33.795862738000004,-84.249225269,313.9762,0.765,M1-1,32,Ground,-2.189865062608626,1.8763660691406792,-113.97619934756344,6897,Dirty,-1
2,1953,33.79588248,-84.24924553,311.1897011000001,112866,33.795862907,-84.249225299,313.6902,0.6509999999999999,M1-1,32,Ground,-2.1711187774259675,1.8735876881868665,-113.69019935431238,6897,Dirty,-1
3,1953,33.79588248,-84.24924553,311.1897011000001,112867,33.795863029,-84.24922533899999,313.4045,0.737,M1-1,32,Ground,-2.157585931587222,1.8698832129511105,-113.40449935944822,6897,Dirty,-1
4,1953,33.79588248,-84.24924553,311.1897011000001,112868,33.795863108,-84.24922378800001,314.2575,0.7290000000000001,M1-1,32,Ground,-2.148823181148368,2.013521181863207,-114.25749931991949,6897,Dirty,-1
5,1953,33.79588248,-84.24924553,311.1897011000001,112869,33.795863144,-84.249223847,313.9751,0.7609999999999999,M1-1,32,Ground,-2.1448298164319004,2.0080571178721183,-113.97509932263004,6897,Dirty,-1
6,1953,33.79588248,-84.24924553,311.1897011000001,112870,33.795863153,-84.24922391300001,313.6927,0.7140000000000001,M1-1,32,Ground,-2.143831405076469,2.001944785164151,-113.69269932528208,6897,Dirty,-1
7,1953,33.79588248,-84.24924553,311.1897011000001,112871,33.795863427,-84.249223919,313.411,0.733,M1-1,32,Ground,-2.113438086411725,2.0013890329923822,-113.41099933536644,6897,Dirty,-1
8,1953,33.79588248,-84.24924553,311.1897011000001,112872,33.795863178000005,-84.249222444,314.2473,0.7140000000000001,M1-1,32,Ground,-2.141058457751249,2.1379886812427547,-114.24729928179936,6897,Dirty,-1
9,1953,33.79588248,-84.24924553,311.1897011000001,112873,33.795863427,-84.249222456,313.9684,0.773,M1-1,32,Ground,-2.113438242611295,2.1368772654922186,-113.96839929121984,6897,Dirty,-1
10,1953,33.79588248,-84.24924553,311.1897011000001,112874,33.795863356999995,-84.249222538,313.6896,0.725,M1-1,32,Ground,-2.1212028447791464,2.129283174691457,-113.689599292132,6897,Dirty,-1
11,1953,33.79588248,-84.24924553,311.1897011000001,112875,33.795863559000004,-84.24922256,313.4113,0.7140000000000001,M1-1,32,Ground,-2.0987960681439035,2.127245661649609,-113.41129929847858,6897,Dirty,-1
12,1953,33.79588248,-84.24924553,311.1897011000001,112876,33.795863481,-84.249221049,314.2396,0.722,M1-1,32,Ground,-2.1074483965944952,2.2671792712557504,-114.23959924845171,6897,Dirty,-1
13,1953,33.79588248,-84.24924553,311.1897011000001,112877,33.795863598000004,-84.24922109,313.9644,0.7609999999999999,M1-1,32,Ground,-2.0944701760919093,2.2633821712282245,-113.96439925362577,6897,Dirty,-1
14,1953,33.79588248,-84.24924553,311.1897011000001,112878,33.795863772,-84.249221116,313.6896,0.7140000000000001,M1-1,32,Ground,-2.0751692794494465,2.2609742155841057,-113.68959926134858,6897,Dirty,-1
15,1953,33.79588248,-84.24924553,311.1897011000001,112879,33.795863938000004,-84.249221145,313.415,0.722,M1-1,32,Ground,-2.056755776363536,2.2582884312615508,-113.41499926753514,6897,Dirty,-1
16,1953,33.79588248,-84.24924553,311.1897011000001,112880,33.79586405,-84.249221187,313.1404,0.7290000000000001,M1-1,32,Ground,-2.0443321827730383,2.2543987234745098,-113.14039927439951,6897,Dirty,-1
17,1953,33.79588248,-84.24924553,311.1897011000001,112881,33.795863758,-84.24921966,314.2346,0.722,M1-1,32,Ground,-2.0767223630021583,2.3958142041678068,-114.23459921197512,6897,Dirty,-1
18,1953,33.79588248,-84.24924553,311.1897011000001,112882,33.795864058,-84.249219658,313.9632,0.773,M1-1,32,Ground,-2.043445018523125,2.395999313175776,-113.96319922329651,6897,Dirty,-1
19,1953,33.79588248,-84.24924553,311.1897011000001,112883,33.795864083000005,-84.249219718,313.692,0.675,M1-1,32,Ground,-2.0406718277721687,2.39044262564705,-113.69199922473247,6897,Dirty,-1
20,1953,33.79588248,-84.24924553,311.1897011000001,112884,33.795864150999996,-84.24921976899999,313.4208,0.659,M1-1,32,Ground,-2.0331288994411647,2.385719426580212,-113.4207992302776,6897,Dirty,-1
21,1953,33.79588248,-84.24924553,311.1897011000001,112885,33.795864447,-84.249219768,313.1506,0.725,M1-1,32,Ground,-2.0002952578855213,2.385811926344855,-113.15059924018335,6897,Dirty,-1
22,1953,33.79588248,-84.24924553,311.1897011000001,112886,33.795864103,-84.249218257,314.2242,0.725,M1-1,32,Ground,-2.038453480497159,2.5257456673300482,-114.22419917486576,6897,Dirty,-1
23,1953,33.79588248,-84.24924553,311.1897011000001,112887,33.795864264,-84.249218286,313.9565,0.7759999999999999,M1-1,32,Ground,-2.020594601942824,2.523059873655028,-113.95649918069857,6897,Dirty,-1
24,1953,33.79588248,-84.24924553,311.1897011000001,112888,33.795864342,-84.24921833399999,313.6889,0.7290000000000001,M1-1,32,Ground,-2.011942431951196,2.5186144991338053,-113.68889918516558,6897,Dirty,-1
25,1953,33.79588248,-84.24924553,311.1897011000001,112889,33.795864576999996,-84.249218346,313.4219,0.741,M1-1,32,Ground,-1.9858751674125168,2.5175030686128093,-113.42189919392791,6897,Dirty,-1
