sign_id,lat_sign,long_sign,alt_sign,index,lidar_lat,lidar_long,lidar_alt,retro,mutcd_code,count,car_lat,car_long,car_alt,overhead,alt_diff,x_cart,y_cart,z_cart
2025,33.83689824,-84.24921607,324.9020948,105698,33.836951452,-84.249154954,324.2672,0.651,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,2,4555.56440814621,8.38422400576119,-122.634503877587
2025,33.83689824,-84.24921607,324.9020948,105699,33.836878773,-84.24920625,326.6621,0.612,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,0,4547.50419523903,3.63598217146475,-125.035181321534
2025,33.83689824,-84.24921607,324.9020948,105700,33.836878493,-84.249206328,326.2405,0.624,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,0,4547.47283454138,3.62876181612582,-124.613603657057
2025,33.83689824,-84.24921607,324.9020948,105701,33.836879163,-84.249205218,327.5011,0.792,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,-1,4547.54805639691,3.73151048568283,-125.87415009726
2025,33.83689824,-84.24921607,324.9020948,105702,33.836878714,-84.249205468,327.0832,0.808,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,-1,4547.49795198924,3.70836882557854,-125.456285854209
2025,33.83689824,-84.24921607,324.9020948,105703,33.836878479,-84.249205501,326.6641,0.808,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,0,4547.47158471166,3.7053139219576,-125.037204613255
2025,33.83689824,-84.24921607,324.9020948,105704,33.836877965,-84.249205815,326.2446,0.816,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,0,4547.41426903631,3.67624806137048,-124.617745535115
2025,33.83689824,-84.24921607,324.9020948,105705,33.836878807,-84.24920453,327.503,0.827,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,-1,4547.50856843523,3.79519573749867,-125.876078314421
2025,33.83689824,-84.24921607,324.9020948,105706,33.836878517,-84.249204621,327.0868,0.831,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,-1,4547.47610234603,3.78677202080609,-125.459901441833
2025,33.83689824,-84.24921607,324.9020948,105707,33.836878075,-84.249204863,326.6703,0.839,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,0,4547.42677542379,3.76437088487657,-125.043436643862
2025,33.83689824,-84.24921607,324.9020948,105708,33.836877872,-84.249204866,326.2528,0.839,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,0,4547.40395890247,3.76409295033494,-124.625952862015
2025,33.83689824,-84.24921607,324.9020948,105709,33.836878593,-84.249203695,327.4961,0.827,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,-1,4547.4848255521,3.87248814427226,-125.869195253411
2025,33.83689824,-84.24921607,324.9020948,105710,33.836878172,-84.249203918,327.0825,0.824,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,-1,4547.43783012783,3.85184575144687,-125.455628787302
2025,33.83689824,-84.24921607,324.9020948,105711,33.836877816,-84.249204077,326.668,0.792,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,0,4547.39804420215,3.83712756506068,-125.041157156996
2025,33.83689824,-84.24921607,324.9020948,105712,33.836877356,-84.249204338,326.2528,0.808,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,0,4547.34672156538,3.81296768027636,-124.625993786545
2025,33.83689824,-84.24921607,324.9020948,105713,33.836878104,-84.249203138,327.4945,0.816,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,-1,4547.43058203892,3.92404728891712,-125.867634034526
2025,33.83689824,-84.24921607,324.9020948,105714,33.836877732,-84.249203313,327.0827,0.808,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,-1,4547.38902324002,3.90784804793652,-125.455863675496
2025,33.83689824,-84.24921607,324.9020948,105715,33.836876957,-84.249203693,326.2568,0.769,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,0,4547.30246533338,3.87267259872692,-124.630025415863
2025,33.83689824,-84.24921607,324.9020948,105716,33.836877796,-84.2492024,327.4961,0.827,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,-1,4547.39641827162,3.9923608273283,-125.869258437739
2025,33.83689824,-84.24921607,324.9020948,105717,33.836877404,-84.249202597,327.0865,0.812,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,-1,4547.352642546,3.97412513820671,-125.459689666166
2025,33.83689824,-84.24921607,324.9020948,105718,33.83687665,-84.249202958,326.2648,0.749,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,0,4547.26841707679,3.94070843119107,-124.638049738157
2025,33.83689824,-84.24921607,324.9020948,105719,33.836877368,-84.249201779,327.4901,0.82,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,-1,4547.34893804732,4.04984417673703,-125.863292372078
2025,33.83689824,-84.24921607,324.9020948,105720,33.836877053,-84.249201899,327.0822,0.816,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,-1,4547.31370477848,4.03873604221598,-125.455417483719
2025,33.83689824,-84.24921607,324.9020948,105721,33.83687703,-84.249201067,327.4877,0.831,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,-1,4547.31144366364,4.11575100512937,-125.860919156995
2025,33.83689824,-84.24921607,324.9020948,105722,33.836876832,-84.24920107,327.0815,0.816,R2-1,1789,33.8369315,-84.24901256,326.1505001,Ground,-1,4547.2891898583,4.11547305551706,-125.454734974977
