,sign_id,lat_sign,long_sign,alt_sign,index,lidar_lat,lidar_long,lidar_alt,retro,mutcd_code,count,car_lat,car_long,car_alt,overhead,alt_diff,x_cart,y_cart,z_cart,frame,cluster_group
1123,1992,33.81797831,-84.25224453,316.1161731,124196,33.81816265,-84.25218502,315.8496,0.784,W13-2,133,33.81806535,-84.25209912,317.3,Ground,2,2471.418707701494,-272.1548930879033,-115.36327802767023,6403,-1
1124,1992,33.81797831,-84.25224453,316.1161731,124197,33.818159995,-84.252185489,315.8253,0.8,W13-2,133,33.81806535,-84.25209912,317.3,Ground,2,2471.1241946533028,-272.1983231802586,-115.33909069352616,6403,-1
1125,1992,33.81797831,-84.25224453,316.1161731,124198,33.818143326,-84.252188591,315.893,0.737,W13-2,133,33.81806535,-84.25209912,317.3,Ground,2,2469.2752268420345,-272.48557994093255,-115.40749708605705,6403,-1
1126,1992,33.81797831,-84.25224453,316.1161731,124199,33.818140496,-84.25218913100001,315.8725,0.7609999999999999,W13-2,133,33.81806535,-84.25209912,317.3,Ground,2,2468.961303659174,-272.53558435906797,-115.38711690989794,6403,-1
1127,1992,33.81797831,-84.25224453,316.1161731,124200,33.818137543,-84.252189713,315.8528,0.7609999999999999,W13-2,133,33.81806535,-84.25209912,317.3,Ground,2,2468.6337371750265,-272.58947780845824,-115.36754185141865,6403,-1
1128,1992,33.81797831,-84.25224453,316.1161731,124201,33.818134767,-84.252190234,315.8309,0.745,W13-2,133,33.81806535,-84.25209912,317.3,Ground,2,2468.325803330756,-272.63772287085203,-115.34575939107395,6403,-1
1129,1992,33.81797831,-84.25224453,316.1161731,124202,33.818131996999995,-84.252190752,315.8111,0.647,W13-2,133,33.81806535,-84.25209912,317.3,Ground,2,2468.018535844949,-272.6856902516,-115.32607666899044,6403,-1
1130,1992,33.81797831,-84.25224453,316.1161731,124203,33.81796047,-84.252239523,319.2014,0.745,W13-2,133,33.81806535,-84.25209912,317.3,Ground,-2,2448.993407290889,-277.2018920923418,-118.72354196827585,6403,-1
1131,1992,33.81797831,-84.25224453,316.1161731,124204,33.81796058,-84.252239478,318.8126,0.741,W13-2,133,33.81806535,-84.25209912,317.3,Ground,-1,2449.0054590645323,-277.1977084874378,-118.33473747671101,6403,-1
1132,1992,33.81797831,-84.25224453,316.1161731,124205,33.817960708,-84.25223942699999,318.4242,0.745,W13-2,133,33.81806535,-84.25209912,317.3,Ground,-1,2449.019507618684,-277.1929693260656,-117.94633224068264,6403,-1
1133,1992,33.81797831,-84.25224453,316.1161731,124206,33.817960913,-84.252239348,318.0363,0.7490000000000001,W13-2,133,33.81806535,-84.25209912,317.3,Ground,-1,2449.042097485081,-277.1856375317477,-117.55842382509476,6403,-1
1134,1992,33.81797831,-84.25224453,316.1161731,124207,33.817960383,-84.252239001,319.1952,0.765,W13-2,133,33.81806535,-84.25209912,317.3,Ground,-2,2448.983753051145,-277.1535622021912,-118.71734778641705,6403,-1
1135,1992,33.81797831,-84.25224453,316.1161731,124208,33.817960589,-84.252238922,318.8072,0.773,W13-2,133,33.81806535,-84.25209912,317.3,Ground,-1,2449.006453809514,-277.14623040058467,-118.32933932869663,6403,-1
1136,1992,33.81797831,-84.25224453,316.1161731,124209,33.817960734,-84.25223886399999,318.42,0.784,W13-2,133,33.81806535,-84.25209912,317.3,Ground,-1,2449.022388525364,-277.1408431370311,-117.94213339223577,6403,-1
1137,1992,33.81797831,-84.25224453,316.1161731,124210,33.817961078,-84.252238737,318.0331,0.784,W13-2,133,33.81806535,-84.25209912,317.3,Ground,-1,2449.0603971745873,-277.12906681275985,-117.55521922767092,6403,-1
1138,1992,33.81797831,-84.25224453,316.1161731,124211,33.817960495,-84.252238408,319.1919,0.7879999999999999,W13-2,133,33.81806535,-84.25209912,317.3,Ground,-2,2448.9961737470503,-277.0986581880677,-118.71404538302522,6403,-1
1139,1992,33.81797831,-84.25224453,316.1161731,124212,33.817960537,-84.252238386,318.8057,0.792,W13-2,133,33.81806535,-84.25209912,317.3,Ground,-1,2449.000683707513,-277.0966044000965,-118.32784370546659,6403,-1
1140,1992,33.81797831,-84.25224453,316.1161731,124213,33.817960864,-84.252238265,318.4194,0.8,W13-2,133,33.81806535,-84.25209912,317.3,Ground,-1,2449.0368068874827,-277.08538367510283,-117.941530243652,6403,-1
1141,1992,33.81797831,-84.25224453,316.1161731,124214,33.817960932,-84.252238235,318.034,0.792,W13-2,133,33.81806535,-84.25209912,317.3,Ground,-1,2449.044201172104,-277.08258915021764,-117.556127485493,6403,-1
1142,1992,33.81797831,-84.25224453,316.1161731,124215,33.817960634,-84.252237805,319.1923,0.812,W13-2,133,33.81806535,-84.25209912,317.3,Ground,-2,2449.011590808831,-277.04282838798173,-118.71444186500179,6403,-1
1143,1992,33.81797831,-84.25224453,316.1161731,124216,33.817960633,-84.252237799,318.8076,0.8079999999999999,W13-2,133,33.81806535,-84.25209912,317.3,Ground,-1,2449.011331627752,-277.0422561830744,-118.32974195985359,6403,-1
1144,1992,33.81797831,-84.25224453,316.1161731,124217,33.817960883000005,-84.252237705,318.4227,0.8240000000000001,W13-2,133,33.81806535,-84.25209912,317.3,Ground,-1,2449.038914222139,-277.0335355925201,-117.94483168258509,6403,-1
1145,1992,33.81797831,-84.25224453,316.1161731,124218,33.817960905999996,-84.25223769,318.0385,0.82,W13-2,133,33.81806535,-84.25209912,317.3,Ground,-1,2449.041317399188,-277.032130059452,-117.56063078754947,6403,-1
