ObjId,image_name,long,lat,alt
14,0,-84.45692167,33.8707834,248.7
14,1,-84.45692566,33.87082895,248.8
14,2,-84.456935,33.87087284,249
14,3,-84.45694,33.87091713,249.2324999
14,4,-84.45693149,33.87096107,249.6555001
14,5,-84.4569024,33.87099876,250.1279997
14,6,-84.45686539,33.87103124,250.7
14,7,-84.45682674,33.87106158,251.1
14,8,-84.45678842,33.87109323,251.5990002
14,9,-84.45674937,33.87112188,252.1230001
14,10,-84.45671027,33.8711509,252.6139999
14,11,-84.45666989,33.87117867,252.9845003
14,12,-84.45662649,33.8712065,253.3
14,13,-84.45658332,33.8712322,253.5
14,14,-84.45653985,33.8712591,253.6
14,15,-84.45649762,33.87128571,253.6
14,16,-84.45645694,33.87131542,253.7
14,17,-84.45642209,33.87134975,253.7124997
14,18,-84.456393,33.8713875,253.9
14,19,-84.45637234,33.87142839,254.0864999
14,20,-84.45636114,33.8714725,254.3314998
14,21,-84.45635561,33.87151676,254.5635001
14,22,-84.45635802,33.87156076,254.8809999
14,23,-84.45636316,33.87160523,255.2894997
14,24,-84.45637135,33.8716502,255.5905003
14,25,-84.45637805,33.87169408,255.9830001
14,26,-84.45638279,33.8717378,256.2670001
14,27,-84.45638739,33.87178213,256.643
14,28,-84.45639167,33.8718268,256.9219999
14,29,-84.45639454,33.87187159,257.2724999
14,30,-84.45639714,33.8719151,257.6279999
14,31,-84.45639963,33.87195955,257.8774999
14,32,-84.45640167,33.87200409,258.2449998
14,33,-84.45640271,33.87204913,258.5625
14,34,-84.45640334,33.87209311,258.899
14,35,-84.456405,33.87213823,259.2660001
14,36,-84.456405,33.87218316,259.5660001
14,37,-84.456405,33.8722282,259.8994992
14,38,-84.456405,33.87227286,260.2680005
14,39,-84.45640384,33.8723172,260.5694994
14,40,-84.45640324,33.87236106,260.9110007
14,41,-84.45640097,33.872406,261.2419995
14,42,-84.45639834,33.87245084,261.5775005
14,43,-84.4563948,33.8724955,261.9119996
14,44,-84.45639086,33.87254052,262.2485006
14,45,-84.45638684,33.8725848,262.5799993
14,46,-84.45638269,33.8726298,262.9390006
14,47,-84.45637838,33.87267455,263.2949993
14,48,-84.45637389,33.87271938,263.5665005
14,49,-84.45636755,33.87276368,263.9469994
14,50,-84.45636032,33.8728077,264.2810005
14,51,-84.45635249,33.8728517,264.6505
14,52,-84.45634372,33.87289561,264.9769997
14,53,-84.45633459,33.8729399,265.3245003
14,54,-84.45632669,33.87298479,265.6
14,55,-84.45631825,33.8730288,266
14,56,-84.45631076,33.87307208,266.2544994
14,57,-84.45630221,33.87311559,266.6
14,58,-84.45629342,33.87315971,266.9
14,59,-84.456285,33.87320376,267.3
14,60,-84.45627667,33.8732467,267.6259999
14,61,-84.45626719,33.87329186,267.969
14,62,-84.45625891,33.87333427,268.2655
14,63,-84.45625168,33.87337823,268.5995
14,64,-84.45624338,33.87342125,268.8975
14,65,-84.45623434,33.87346496,269.27
14,66,-84.45622592,33.87350742,269.5449999
14,67,-84.456218,33.87355096,269.86
14,68,-84.45620877,33.87359425,270.1870001
14,69,-84.45619979,33.87363793,270.5130001
14,70,-84.45619236,33.8736822,270.839
14,71,-84.45618407,33.87372603,271.156
14,72,-84.45617562,33.87377012,271.4629999
14,73,-84.45616676,33.87381345,271.7630001
14,74,-84.45615865,33.87385748,272.054
14,75,-84.45614903,33.87390118,272.4195
14,76,-84.45613953,33.87394551,272.7189999
14,77,-84.45613015,33.87398926,272.9969999
14,78,-84.4561209,33.87403243,273.3640002
14,79,-84.45611009,33.87407621,273.6649999
14,80,-84.45609932,33.87412005,273.9939999
14,81,-84.45608863,33.8741635,274.3550002
14,82,-84.4560795,33.87420684,274.7149996
14,83,-84.45606899,33.87425026,275.074
14,84,-84.45605839,33.87429467,275.4310003
14,85,-84.4560478,33.87433856,275.7879997
14,86,-84.45603721,33.87438225,276.145
14,87,-84.45602649,33.87442584,276.5070004
14,88,-84.45601584,33.87447038,276.8749998
14,89,-84.45600494,33.87451436,277.2520001
14,90,-84.45599494,33.87455916,277.6359999
14,91,-84.45598397,33.87460249,278.0309999
14,92,-84.45597327,33.87464636,278.3360003
14,93,-84.45596282,33.87469165,278.7539998
14,94,-84.45595212,33.87473483,279.1820002
14,95,-84.45594119,33.87477853,279.5189996
14,96,-84.45593067,33.87482263,279.8600001
14,97,-84.45592074,33.87486616,280.252
14,98,-84.45591084,33.87490996,280.65
14,99,-84.45590172,33.87495466,280.9970004
14,100,-84.45589257,33.8749979,281.3230003
14,101,-84.45588504,33.87504228,281.6489999
14,102,-84.45587582,33.87508673,281.9755002
14,103,-84.45586817,33.87513088,282.3099993
14,104,-84.45586037,33.87517545,282.639
14,105,-84.45585244,33.87521908,282.9769997
14,106,-84.45584437,33.87526345,283.3189999
14,107,-84.45583734,33.87530763,283.6199995
14,108,-84.45583166,33.87535172,283.9009996
14,109,-84.45582769,33.87539545,284.2389999
14,110,-84.45582372,33.87544075,284.5769999
14,111,-84.45582141,33.87548447,284.9154999
14,112,-84.45581908,33.87553014,285.2555
14,113,-84.45581834,33.8755746,285.596
14,114,-84.45581834,33.87561921,285.891
14,115,-84.45581835,33.87566348,286.201
14,116,-84.45582109,33.87570913,286.5299999
14,117,-84.45582399,33.87575321,286.8394998
14,118,-84.45582834,33.87579894,287.1265
14,119,-84.45583214,33.8758425,287.4279998
14,120,-84.45583744,33.87588776,287.7460002
14,121,-84.45584137,33.8759312,287.9819999
14,122,-84.45584874,33.8759761,288.3239998
14,123,-84.45585439,33.8760201,288.5635001
