sign_id,lat_sign,long_sign,alt_sign,index,lidar_lat,lidar_long,lidar_alt,retro,mutcd_code,count,car_lat,car_long,car_alt,overhead,alt_diff,x_cart,y_cart,z_cart,frame
1977,33.81111584,-84.25136055,311.2318267,129763,33.811094396,-84.251357594,313.4782,0.749,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.37331376975,-195.56304585128,-113.251207635318,6557
1977,33.81111584,-84.25136055,311.2318267,129764,33.811094592,-84.251356976,313.4753,0.776,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.39505301827,-195.505822637543,-113.24830361597,6557
1977,33.81111584,-84.25136055,311.2318267,129765,33.811094771,-84.251356363,313.4667,0.784,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.41490504797,-195.449062253291,-113.239700081263,6557
1977,33.81111584,-84.25136055,311.2318267,129766,33.811094569,-84.25135588,313.7532,0.729,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.39257345944,-195.40434890186,-113.526207390932,6557
1977,33.81111584,-84.25136055,311.2318267,129767,33.811095026,-84.251355724,313.461,0.788,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.4431880553,-195.389894359618,-113.23399438369,6557
1977,33.81111584,-84.25136055,311.2318267,129768,33.811094687,-84.251355289,313.7487,0.761,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.40566022935,-195.349625833876,-113.521705590065,6557
1977,33.81111584,-84.25136055,311.2318267,129769,33.811095058,-84.251355163,313.458,0.788,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.44673577719,-195.337949335615,-113.230995029579,6557
1977,33.81111584,-84.25136055,311.2318267,129770,33.81109504,-84.251355174,313.1677,0.714,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.44466208136,-195.338959021952,-112.940695539313,6557
1977,33.81111584,-84.25136055,311.2318267,129771,33.811095108,-84.251354592,313.7382,0.784,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.45235531421,-195.285086999631,-113.511195165339,6557
1977,33.81111584,-84.25136055,311.2318267,129772,33.811095211,-84.25135456,313.4494,0.788,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.46370379077,-195.282114945705,-113.222392233326,6557
1977,33.81111584,-84.25136055,311.2318267,129773,33.8110954,-84.251354498,313.161,0.757,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.48459181859,-195.276364910315,-112.933986853439,6557
1977,33.81111584,-84.25136055,311.2318267,129774,33.811095209,-84.251354007,313.7308,0.788,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.4635556089,-195.230919442642,-113.503793847444,6557
1977,33.81111584,-84.25136055,311.2318267,129775,33.811095424,-84.251353936,313.4437,0.769,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.48732800137,-195.224336048894,-113.216687726849,6557
1977,33.81111584,-84.25136055,311.2318267,129776,33.811095768,-84.251353819,313.1572,0.784,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.52540971679,-195.213493088549,-112.930177938266,6557
1977,33.81111584,-84.25136055,311.2318267,129777,33.811095388,-84.251353395,313.7262,0.765,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.48340870508,-195.174251773685,-113.499190309213,6557
1977,33.81111584,-84.25136055,311.2318267,129778,33.811095508,-84.251353358,313.4407,0.686,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.496643763,-195.170816820635,-113.213686889701,6557
1977,33.81111584,-84.25136055,311.2318267,129779,33.811095774,-84.251353268,313.1556,0.792,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.52607379447,-195.162474103511,-112.928579320745,6557
1977,33.81111584,-84.25136055,311.2318267,129780,33.811095428,-84.251352829,314.0002,0.741,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-2,1687.48791736149,-195.121852228264,-113.773190723459,6557
1977,33.81111584,-84.25136055,311.2318267,129781,33.811095927,-84.251352665,313.1487,0.776,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.54304225853,-195.106639767828,-112.921676520578,6557
1977,33.81111584,-84.25136055,311.2318267,129782,33.811096158,-84.251352588,312.8657,0.702,W4-3,81,33.81115918,-84.25124577,312.5,Ground,0,1687.56859051502,-195.099500910603,-112.638669944644,6557
1977,33.81111584,-84.25136055,311.2318267,129783,33.811095424,-84.251352281,313.9914,0.769,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.48747028905,-195.071110819113,-113.764392392343,6557
1977,33.81111584,-84.25136055,311.2318267,129784,33.811095968,-84.251352098,313.4263,0.749,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.54766279776,-195.054147739699,-113.199276908585,6557
1977,33.81111584,-84.25136055,311.2318267,129785,33.811096027,-84.251352081,313.1444,0.749,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.55413245572,-195.052564907571,-112.917375227829,6557
1977,33.81111584,-84.25136055,311.2318267,129786,33.811096085,-84.251352064,312.8626,0.757,W4-3,81,33.81115918,-84.25124577,312.5,Ground,0,1687.56049121557,-195.050982080804,-112.635573577446,6557
1977,33.81111584,-84.25136055,311.2318267,129787,33.811095811,-84.251351597,313.9846,0.773,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.53039495274,-195.007775887749,-113.757582929433,6557
