1953,33.79588248,-84.24924553,"[1667069, 1667070, 1667086, 1667109, 1667128, 1667209, 1667211, 1667235, 1667236, 1667237, 1667270, 1667271, 1667291, 1667369, 1667378, 1667423, 1667435, 1667436, 1667457, 1667500, 1667596, 1667597, 1667614, 1667615, 1667635, 1667636, 1667650, 1667651, 1667652, 1667666, 1667667, 1667668, 1667669, 1667690, 1667691, 1667736, 1667760, 1667761, 1667984, 1668005, 1668028, 1668055, 1668078, 1668102, 1668168, 1668185, 1668205, 1668231, 1668249, 1668262, 1668282, 1668301, 1668302, 1668303, 1668318, 1668332, 1668353, 1668375, 1668376, 1668399, 1668400, 1668420, 1668422, 1668443, 1668445, 1668466, 1668468, 1668490, 1668491, 1668492, 1668516, 1668518, 1668543, 1668563]",,,,,
1965,33.80535836,-84.25065912,"[1632402, 1632409, 1632417, 1632445, 1632461, 1632466, 1632470, 1632472, 1632479, 1632483, 1632484, 1632486, 1632487, 1632490, 1632493, 1632494, 1632498, 1632499, 1632501, 1632505, 1632509, 1632515, 1632520, 1632521, 1632522, 1632524, 1632525, 1632527, 1632528, 1632529, 1632533, 1632534, 1632536, 1632540, 1632541, 1632543, 1632544, 1632547, 1632548, 1632551, 1632556, 1632559, 1632560, 1632564, 1632565, 1632566, 1632579, 1632580, 1632585, 1632586, 1632589, 1632590, 1632594, 1632595, 1632598, 1632599, 1632600, 1632602, 1632603, 1632606, 1632607, 1632612, 1632613, 1632616, 1632617, 1632621, 1632622, 1632626, 1632627, 1632631, 1632632, 1632638, 1632639, 1632651, 1632652, 1632663, 1632664, 1632672, 1632673, 1632684, 1632697, 1632698, 1632709, 1632710, 1632711, 1632725, 1632726, 1632739, 1632752, 1632753, 1632754, 1632766, 1632767, 1632768, 1632781, 1632782, 1632794, 1632795, 1632796, 1632810, 1632811, 1632824, 1632825, 1632835, 1632847, 1632858, 1632870, 1632871, 1632885]",,,,,
1972,33.80866239,-84.25109886,"[1612759, 1612767, 1612768, 1612776, 1612777, 1612784, 1612785, 1612786, 1612794, 1612795, 1612796, 1612806, 1612807, 1612808, 1612815, 1612816, 1612817, 1612828, 1612829, 1612841, 1612842, 1612851, 1612852, 1612862, 1612863, 1612872, 1612873, 1612874, 1612875, 1612887, 1612888, 1612889, 1612890, 1612901, 1612902, 1612912, 1612913, 1612924, 1612925, 1612936, 1612937, 1612948, 1612949, 1612965, 1612981, 1612998]",,,,,
1973,33.80866462,-84.25109756,"[1612875, 1612889, 1612890]",,,,,
1974,33.80886056,-84.2511343,"[1611738, 1611739, 1611747, 1611748, 1611757, 1611767, 1611774, 1611781, 1611787, 1611796, 1611805, 1611815, 1611826, 1611835, 1611847, 1611855, 1611863, 1611872]",,,,,
1976,33.8096924,-84.25123995,"[1608162, 1608169, 1608176, 1608183, 1608190, 1608196, 1608197, 1608204, 1608205, 1608212, 1608213, 1608220, 1608221, 1608228, 1608229, 1608236, 1608237, 1608246, 1608247, 1608256, 1608257, 1608268, 1608278, 1608288]",,,,,
1977,33.81111584,-84.25136055,"[1604919, 1604933, 1604937, 1604941, 1604945, 1604949, 1604961, 1604964, 1604968, 1604972, 1604976, 1604980, 1604984, 1604988, 1604992, 1604995, 1604998, 1605002, 1605003, 1605006, 1605007, 1605012, 1605015, 1605016, 1605019, 1605020, 1605023, 1605024, 1605025, 1605026, 1605030, 1605031, 1605034, 1605037, 1605038, 1605041, 1605042, 1605045, 1605046, 1605049, 1605050, 1605053, 1605054, 1605057, 1605058, 1605059, 1605063, 1605064, 1605065, 1605069, 1605070, 1605071, 1605076, 1605077, 1605078, 1605083, 1605084, 1605091, 1605092, 1605098, 1605099, 1605100, 1605106, 1605113, 1605114, 1605124, 1605125, 1605126, 1605135, 1605137, 1605148, 1605149, 1605161, 1605162, 1605163, 1605175, 1605176, 1605177, 1605178, 1605190, 1605191, 1605192, 1605193, 1605194, 1605205, 1605206, 1605208, 1605209, 1605210, 1605221, 1605224, 1605225, 1605235, 1605238, 1605239, 1605248, 1605251, 1605252, 1605262, 1605263, 1605264, 1605265, 1605275, 1605276, 1605277, 1605289, 1605290, 1605302, 1605303, 1605304, 1605315, 1605316, 1605317, 1605327, 1605328, 1605329, 1605338, 1605339, 1605347, 1605348, 1605355, 1605356, 1605363, 1605364, 1605369, 1605370, 1605374, 1605375, 1605379, 1605380, 1605384, 1605385, 1605388, 1605389, 1605392, 1605395]",,,,,
1982,33.81497765,-84.25182899,"[1566840, 1566849, 1566857, 1566864, 1566871, 1566877, 1566883, 1566890, 1566897, 1566960, 1566961, 1566962, 1566963, 1566964, 1566983, 1566989, 1566996, 1567004, 1567012, 1567020, 1567028, 1567052, 1567060, 1567069, 1567076, 1567078, 1567080, 1567083, 1567084, 1567086, 1567088, 1567090, 1567092, 1567094, 1567096, 1567098]",,,,,
1986,33.81623259,-84.25199787,"[1563762, 1563772, 1563773, 1563775, 1563776, 1563778, 1563780, 1563787, 1563794, 1563828, 1563835, 1563841, 1563847, 1563854, 1563860, 1563861, 1563868, 1563876, 1563891, 1563899, 1563907, 1563922, 1563974, 1563981, 1563988, 1563995, 1564002, 1564003, 1564016, 1564023, 1564030, 1564037, 1564044]",,,,,
1992,33.81797831,-84.25224453,"[1555324, 1555329, 1555335, 1555336, 1555341, 1555342, 1555347, 1555348, 1555353, 1555354, 1555359, 1555360, 1555365, 1555366, 1555371, 1555372, 1555377, 1555378, 1555383, 1555384, 1555389, 1555390, 1555395, 1555401, 1555402, 1555407, 1555408, 1555413, 1555414, 1555419, 1555420, 1555426, 1555447, 1555473, 1555500, 1555510, 1555512, 1555514, 1555519, 1555522, 1555524, 1555526]",,,,,
1998,33.86603858,-84.24929101,"[1157388, 1157409, 1157436]",,,,,
1999,33.86690204,-84.24951776,"[1154693, 1154752, 1154753, 1154764, 1154765, 1154766, 1154767, 1154778, 1154779, 1154780, 1154781, 1154782, 1154783, 1154792, 1154793, 1154794, 1154795, 1154796, 1154797, 1154807, 1154808, 1154809, 1154810, 1154811, 1154822, 1154823, 1154825, 1154836, 1154837, 1154938]",,,,,
2005,33.86894775,-84.24985963,"[1146707, 1146740, 1146753, 1146754, 1146780, 1146829]",,,,,
