,sign_id,lat_sign,long_sign,alt_sign,index,lidar_lat,lidar_long,lidar_alt,retro,mutcd_code,count,car_lat,car_long,car_alt,overhead,alt_diff,x_cart,y_cart,z_cart,frame,physical_condition,cluster_group
3037,2022,33.88163276,-84.25014739,302.7580655,84761,33.881614207,-84.25013254699999,303.7281,0.722,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.769583974548,-82.0642856720108,-96.6128160876178,4968,Good Condition,-1
3038,2022,33.88163276,-84.25014739,302.7580655,84762,33.881614361,-84.250132015,303.7277,0.7609999999999999,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.786665467096,-82.01506639686059,-96.61239116065359,4968,Good Condition,-1
3039,2022,33.88163276,-84.25014739,302.7580655,84763,33.881614381999995,-84.250131517,303.7222,0.784,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.788986275738,-81.9689927645349,-96.60688827379452,4968,Good Condition,-1
3040,2022,33.88163276,-84.25014739,302.7580655,84764,33.881614675,-84.25013094399999,303.7187,0.784,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.8214817333,-81.91598011188006,-96.60334032683298,4968,Good Condition,-1
3041,2022,33.88163276,-84.25014739,302.7580655,84765,33.881614641,-84.250130795,303.445,0.635,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.817300610612,-81.90219157900056,-96.32964645448759,4968,Good Condition,-1
3042,2022,33.88163276,-84.25014739,302.7580655,84766,33.881614669,-84.250130615,303.9912,0.6509999999999999,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.821223662682,-81.88554547121338,-96.87584140884212,4968,Good Condition,-1
3043,2022,33.88163276,-84.25014739,302.7580655,84767,33.881614768,-84.250130429,303.7183,0.792,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.83179678925,-81.86833368617333,-96.60292550355379,4968,Good Condition,-1
3044,2022,33.88163276,-84.25014739,302.7580655,84768,33.881614848000005,-84.250130248,303.4459,0.737,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.8402630848,-81.85158451387106,-96.3305127442774,4968,Good Condition,-1
3045,2022,33.88163276,-84.25014739,302.7580655,84769,33.881614908,-84.250130054,303.9836,0.7490000000000001,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.847723023177,-81.83364302088273,-96.86820241446743,4968,Good Condition,-1
3046,2022,33.88163276,-84.25014739,302.7580655,84770,33.881615078,-84.25012985,303.712,0.7879999999999999,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.866173785022,-81.8147658790612,-96.5965747440772,4968,Good Condition,-1
3047,2022,33.88163276,-84.25014739,302.7580655,84771,33.881614904,-84.25012974,303.4417,0.7759999999999999,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.846468220545,-81.80458569631405,-96.32630405737795,4968,Good Condition,-1
3048,2022,33.88163276,-84.25014739,302.7580655,84772,33.881614797,-84.250129591,303.98,0.773,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.835404545323,-81.7908076386255,-96.86462139220792,4968,Good Condition,-1
3049,2022,33.88163276,-84.25014739,302.7580655,84773,33.881614739,-84.25012945,303.7102,0.7879999999999999,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.828567054421,-81.77775932032733,-96.59483148786131,4968,Good Condition,-1
3050,2022,33.88163276,-84.25014739,302.7580655,84774,33.881615013,-84.250129218,303.44,0.784,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.858556132629,-81.75629162030896,-96.3245865873736,4968,Good Condition,-1
3051,2022,33.88163276,-84.25014739,302.7580655,84775,33.881615205,-84.250128987,303.9769,0.792,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.8806570036,-81.73492684842995,-96.8614543930546,4968,Good Condition,-1
3052,2022,33.88163276,-84.25014739,302.7580655,84776,33.881615217,-84.250128827,303.7088,0.7959999999999999,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.881586817995,-81.72012066194725,-96.59335289031084,4968,Good Condition,-1
3053,2022,33.88163276,-84.25014739,302.7580655,84777,33.881615104,-84.25012870100001,303.441,0.792,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.868651431789,-81.70846018279218,-96.32557209476677,4968,Good Condition,-1
3054,2022,33.88163276,-84.25014739,302.7580655,84778,33.881615259,-84.250128476,303.97,0.7879999999999999,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.88663624647,-81.68765044437119,-96.85454604120869,4968,Good Condition,-1
3055,2022,33.88163276,-84.25014739,302.7580655,84779,33.881615396,-84.250128283,303.7029,0.792,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.901433210649,-81.66979108551361,-96.58742383021082,4968,Good Condition,-1
3056,2022,33.88163276,-84.25014739,302.7580655,84780,33.881615309000004,-84.250128151,303.4366,0.7959999999999999,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.891384124609,-81.65757549977718,-96.3211387245706,4968,Good Condition,-1
3057,2022,33.88163276,-84.25014739,302.7580655,84781,33.881615334,-84.250128116,304.2313,0.745,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-2,9509.895346357509,-81.65434753935924,-97.11583372742508,4968,Good Condition,-1
3058,2022,33.88163276,-84.25014739,302.7580655,84782,33.881615341,-84.250127959,303.9656,0.7879999999999999,W4-1,113,33.88167531,-84.25003537,302.9,Ground,-1,9509.895725137983,-81.6398189414472,-96.85013304881737,4968,Good Condition,-1
