Id,X,Y,Z,Angle,Distance,Retro,UTC,x_cart,y_cart,z_cart,sign_id
15819108,-84.2471806,33.848588408000005,326.0516,0.027139999999999997,30.840999999999998,0.757,70998.85072999999,5846.399301187433,191.11567990548303,-123.35970698753408,2044
15819186,-84.247179988,33.848588461,326.3653,0.03733,30.686,0.82,70998.86401,5846.405469933665,191.1723316780665,-123.67339975039204,2044
15819187,-84.247179993,33.848588371,326.0497,0.027039999999999998,30.689,0.831,70998.86404,5846.395196330272,191.17185966414405,-123.35780908140532,2044
15819264,-84.247179487,33.848588268,326.3653,0.03733,30.554000000000002,0.812,70998.87732,5846.384062280564,191.21870121579826,-123.67341805409706,2044
15819265,-84.247179413,33.848588295999996,326.0509,0.027039999999999998,30.541999999999998,0.8079999999999999,70998.87735,5846.386879112251,191.22554066686132,-123.3590151250346,2044
15819343,-84.247178777,33.84858839,326.3675,0.03743,30.381999999999998,0.8,70998.89063,5846.397598510759,191.28441371583685,-123.67560363452276,2044
15819344,-84.247178839,33.848588213,326.0551,0.027139999999999997,30.396,0.784,70998.89066,5846.377677242551,191.27866646000612,-123.36322200081122,2044
15819423,-84.247178339,33.848588102,326.3647,0.03733,30.261999999999997,0.82,70998.90394,5846.365650259957,191.32495253512792,-123.67283180828963,2044
15819424,-84.247178165,33.848588279,326.0529,0.027039999999999998,30.230999999999998,0.812,70998.90397,5846.384997539642,191.34104703813466,-123.36101339709103,2044
15819504,-84.247177775,33.84858792,326.0545,0.027039999999999998,30.12,0.8240000000000001,70998.91729,5846.345177554333,191.37714359662192,-123.36264894647456,2044
15819584,-84.247177076,33.848588028,326.0583,0.027139999999999997,29.95,0.8079999999999999,70998.93059,5846.3571622810005,191.44183808989436,-123.36643598432875,2044
15819665,-84.247176481,33.848587976,326.0563,0.027030000000000002,29.8,0.82,70998.9439,5846.351393432246,191.49690724310207,-123.36443963794454,2044
15819746,-84.247175888,33.848587925,326.0573,0.027030000000000002,29.65,0.816,70998.95721000001,5846.34573826381,191.55179137680966,-123.36544319389168,2044
