ObjId,image_name,long,lat,alt
2,129,-85.53603026,35.01305894,207.8735001
2,130,-85.53597986,35.01304214,207.9
2,131,-85.53593109,35.01302371,207.9
2,132,-85.53588073,35.0130052,207.9
2,133,-85.53583033,35.01298804,207.9
2,134,-85.53577993,35.01296938,207.9334999
2,135,-85.53573072,35.01295088,208
2,136,-85.53568169,35.01293238,208
2,137,-85.53563174,35.01291388,208
2,138,-85.53558224,35.01289554,208
2,139,-85.53553297,35.01287729,208
2,140,-85.53548369,35.01285745,208
2,141,-85.53543464,35.01283914,208
2,142,-85.53538582,35.01281946,208
2,143,-85.53533664,35.01280102,208
2,144,-85.53528695,35.01278131,208
2,145,-85.53523835,35.01276213,208
2,146,-85.53518947,35.01274356,208
2,147,-85.53514038,35.01272394,208
2,148,-85.53509104,35.01270424,208
2,149,-85.53504197,35.01268563,208
2,150,-85.5349926,35.01266658,208
2,151,-85.53494267,35.01264696,208
2,152,-85.53489297,35.01262744,208
2,153,-85.53484504,35.01260954,208
2,154,-85.5347957,35.01259024,208
2,155,-85.53474647,35.01257089,208
2,156,-85.53469723,35.01255155,208
2,157,-85.53464824,35.0125323,208
2,158,-85.53459924,35.01251305,208
2,159,-85.53455024,35.0124938,208
2,160,-85.53450074,35.01247455,208
2,161,-85.53445033,35.01245521,207.9649998
2,162,-85.53440134,35.01243596,207.9
2,163,-85.53435257,35.0124168,207.9
2,164,-85.53430357,35.01239673,207.9
2,165,-85.5342548,35.01237673,207.9
2,166,-85.53420603,35.01235757,207.9
2,167,-85.53415727,35.01233736,207.9
2,168,-85.53410873,35.01231768,207.9
2,169,-85.53405926,35.01229753,207.9
2,170,-85.53401047,35.01227806,207.826
2,171,-85.53396217,35.01225779,207.8
2,172,-85.53391387,35.01223709,207.8
2,173,-85.53386533,35.01221771,207.8
2,174,-85.53381703,35.01219726,207.8
2,175,-85.53376873,35.01217656,207.8
2,176,-85.53372043,35.01215586,207.8
2,177,-85.53367237,35.01213526,207.8
2,178,-85.5336243,35.01211464,207.7
2,179,-85.53357647,35.01209249,207.7
2,180,-85.5335284,35.01207189,207.7
2,181,-85.53348033,35.01205113,207.7
2,182,-85.53343227,35.01202903,207.7
2,183,-85.53338424,35.01200805,207.7
2,184,-85.53333733,35.01198563,207.68
2,185,-85.5332892,35.01196309,207.6
2,186,-85.53324217,35.01194113,207.6
2,187,-85.53319438,35.01191991,207.5689999
2,188,-85.53314804,35.01189759,207.5
2,189,-85.53310083,35.01187454,207.5
2,190,-85.53305344,35.01185119,207.4595001
2,191,-85.53300687,35.01182876,207.4
2,192,-85.53296052,35.01180566,207.4
2,193,-85.53291372,35.01178224,207.349
2,194,-85.53286714,35.01175891,207.3
2,195,-85.53282057,35.01173573,207.3
2,196,-85.53277377,35.01171216,207.2379999
2,197,-85.53272785,35.01168778,207.2
2,198,-85.53268161,35.01166469,207.2
2,199,-85.53263605,35.01164091,207.1255001
