query_lat,query_lon,query_alt,index,lidar_lat,lidar_long,lidar_alt,retro,count,x_cart,y_cart,z_cart
33.79595525,-84.24914497,313.3744999,136281,33.795853925,-84.249239548,313.9684,0.745,59,-3.1674400609607236,0.5539915565286287,-113.96839918786266
33.79595525,-84.24914497,313.3744999,136282,33.795853852,-84.249238838,313.9715,0.765,59,-3.1755375243125834,0.6197444855553947,-113.97149917634295
33.79595525,-84.24914497,313.3744999,136283,33.795854154000004,-84.249238839,313.6771,0.733,59,-3.1420382742991646,0.6196518446020792,-113.67709919280905
33.79595525,-84.24914497,313.3744999,136284,33.795854096999996,-84.249238053,313.9776,0.753,59,-3.148361097904291,0.6924431416040836,-113.97759918366616
33.79595525,-84.24914497,313.3744999,136285,33.795854381999995,-84.24923805899999,313.6854,0.718,59,-3.116747561902013,0.6918874501866169,-113.68539919783304
33.79595525,-84.24914497,313.3744999,136286,33.795854093,-84.249237189,314.5592,0.722,59,-3.1488050757431294,0.7724580416417007,-114.55919917374075
33.79595525,-84.24914497,313.3744999,136287,33.795854155,-84.249237244,314.2685,0.718,59,-3.141927632052494,0.7673644681945544,-114.26849917723882
33.79595525,-84.24914497,313.3744999,136288,33.795854378,-84.249237263,313.978,0.722,59,-3.117191395446702,0.7656048462602981,-113.9779991890737
33.79595525,-84.24914497,313.3744999,136289,33.795854326,-84.249237344,313.6875,0.745,59,-3.122959311837821,0.7581034231257835,-113.68749918867351
33.79595525,-84.24914497,313.3744999,136290,33.795854557,-84.249237361,313.3976,0.6509999999999999,59,-3.097335685352269,0.7565290196162213,-113.39759920084654
33.79595525,-84.24914497,313.3744999,136291,33.795854197,-84.249236439,314.5582,0.733,59,-3.1372689541380057,0.841915363122171,-114.55819916979544
33.79595525,-84.24914497,313.3744999,136292,33.79585434,-84.249236475,314.2695,0.706,59,-3.121406652370847,0.8385813712316006,-114.2694991798305
33.79595525,-84.24914497,313.3744999,136293,33.795854534,-84.2492365,313.9812,0.7609999999999999,59,-3.0998872199598684,0.8362660887712662,-113.981199189973
33.79595525,-84.24914497,313.3744999,136294,33.795854668000004,-84.249236539,313.6931,0.722,59,-3.085023237502792,0.832654269545367,-113.69309919710606
33.79595525,-84.24914497,313.3744999,136295,33.795854925,-84.249236549,313.4056,0.7490000000000001,59,-3.0565155871382337,0.8317281314513166,-113.40559921188299
33.79595525,-84.24914497,313.3744999,136296,33.795854292,-84.24923569,314.56,0.745,59,-3.1267311494805523,0.9112800748068524,-114.5599991665511
