query_lat,query_lon,query_alt,index,lidar_lat,lidar_long,lidar_alt,retro,count,x_cart,y_cart,z_cart
33.80866462,-84.25109756,303.6095326,130160,33.808769529,-84.251088872,304.1773,0.718,53,1429.4862077397013,-170.685548171453,-104.01425734281116
33.80866462,-84.25109756,303.6095326,130161,33.808769505,-84.251088337,304.1903,0.624,53,1429.4835475952912,-170.63600986570083,-104.02725926466961
33.80866462,-84.25109756,303.6095326,130162,33.808644724000004,-84.251089919,305.9697,0.675,53,1415.6427087393445,-170.78279178048834,-105.80975341427752
33.80866462,-84.25109756,303.6095326,130163,33.808644823,-84.251089267,305.9676,0.737,53,1415.6536886940114,-170.7224190251823,-105.807652581624
33.80866462,-84.25109756,303.6095326,130164,33.808644923,-84.251088614,305.9693,0.737,53,1415.6647804181093,-170.66195377342223,-105.80935172848747
33.80866462,-84.25109756,303.6095326,130165,33.808645166,-84.25108789,306.3593,0.612,53,1415.6918206889434,-170.59492430585772,-106.19934750560871
33.80866462,-84.25109756,303.6095326,130166,33.808645194,-84.251087901,305.9752,0.733,53,1415.6948410290152,-170.59593254340012,-105.81524679565355
33.80866462,-84.25109756,303.6095326,130167,33.808645269,-84.251087257,305.9731,0.741,53,1415.7031588155119,-170.5363006020179,-105.8131465361925
33.80866462,-84.25109756,303.6095326,130168,33.808645418000005,-84.25108722600001,305.5907,0.624,53,1415.719601298206,-170.53341962257088,-105.4307429417358
33.80866462,-84.25109756,303.6095326,130169,33.808645610999996,-84.25108652,305.9753,0.745,53,1415.7410941849455,-170.46805683163663,-105.81533990962636
33.80866462,-84.25109756,303.6095326,130170,33.808645474,-84.251086588,305.5937,0.725,53,1415.725812668983,-170.47434343412007,-105.43374313544578
33.80866462,-84.25109756,303.6095326,130171,33.808645672,-84.251085861,306.3603,0.639,53,1415.747945238483,-170.40704631328856,-106.20034001985725
33.80866462,-84.25109756,303.6095326,130172,33.808645649,-84.251085889,305.9806,0.753,53,1415.74530944407,-170.40962890847894,-105.82064052978357
33.80866462,-84.25109756,303.6095326,130173,33.808645547,-84.251085945,305.6005,0.741,53,1415.7339105913284,-170.41480433426852,-105.44054292069137
33.80866462,-84.25109756,303.6095326,130174,33.808645625,-84.25108526,306.3567,0.655,53,1415.7427300013865,-170.35139619221508,-106.19674266745704
33.80866462,-84.25109756,303.6095326,130175,33.808645749,-84.251085237,305.9787,0.753,53,1415.7564003695818,-170.34925615779284,-105.81873967089888
33.80866462,-84.25109756,303.6095326,130176,33.808645768000005,-84.25108525,305.6004,0.741,53,1415.7584236828825,-170.35044977293802,-105.44043917684874
33.80866462,-84.25109756,303.6095326,130177,33.808645932,-84.251084535,306.3573,0.69,53,1415.7767826895995,-170.28426359725123,-106.19733687234647
33.80866462,-84.25109756,303.6095326,130178,33.808645927,-84.251084557,305.9806,0.7490000000000001,53,1415.7761441901991,-170.28629066857948,-105.82063695035055
33.80866462,-84.25109756,303.6095326,130179,33.80864604,-84.251084537,305.6041,0.737,53,1415.7885947280126,-170.28442848633813,-105.44413421831709
33.80866462,-84.25109756,303.6095326,130180,33.808646014000004,-84.251083889,306.3612,0.737,53,1415.7858782827934,-170.2244466078861,-106.20123644155979
33.80866462,-84.25109756,303.6095326,130181,33.808646008000004,-84.25108391100001,305.986,0.757,53,1415.7851291912582,-170.22647372690528,-105.82603654363136
33.80866462,-84.25109756,303.6095326,130182,33.808646295,-84.251083831,305.6115,0.741,53,1415.8168808968455,-170.21905550508126,-105.4515296582957
33.80866462,-84.25109756,303.6095326,130183,33.808646236,-84.251083195,306.358,0.737,53,1415.810501611368,-170.16018455139104,-106.19803266923533
33.80866462,-84.25109756,303.6095326,130184,33.80864629,-84.251083195,305.9845,0.7490000000000001,53,1415.8164083177628,-170.16017449081096,-105.8245313442414
33.80866462,-84.25109756,303.6095326,130185,33.808646161,-84.25108326,305.6103,0.733,53,1415.802015834693,-170.1661835037184,-105.45033438029655
33.80866462,-84.25109756,303.6095326,130186,33.808646221,-84.251082608,306.3549,0.733,53,1415.808836086822,-170.10583072402872,-106.1949344869923
