query_lat,query_lon,query_alt,index,lidar_lat,lidar_long,lidar_alt,retro,count,x_cart,y_cart,z_cart
33.8369315,-84.2490125,326.1505001,105698,33.836951452,-84.24915495399999,324.2672,0.6509999999999999,1789,4555.564408146211,8.38422400576119,-122.6345038775865
33.8369315,-84.2490125,326.1505001,105699,33.836878773,-84.24920625,326.6621,0.612,1789,4547.504195239026,3.6359821714647516,-125.03518132153378
33.8369315,-84.2490125,326.1505001,105700,33.836878493,-84.249206328,326.2405,0.624,1789,4547.472834541378,3.6287618161258153,-124.61360365705652
33.8369315,-84.2490125,326.1505001,105701,33.836879163,-84.249205218,327.5011,0.792,1789,4547.548056396914,3.731510485682832,-125.8741500972601
33.8369315,-84.2490125,326.1505001,105702,33.836878714,-84.249205468,327.0832,0.8079999999999999,1789,4547.497951989241,3.708368825578541,-125.45628585420904
33.8369315,-84.2490125,326.1505001,105703,33.836878479,-84.249205501,326.6641,0.8079999999999999,1789,4547.471584711655,3.7053139219575995,-125.03720461325534
33.8369315,-84.2490125,326.1505001,105704,33.836877965,-84.249205815,326.2446,0.816,1789,4547.414269036313,3.6762480613704756,-124.61774553511496
33.8369315,-84.2490125,326.1505001,105705,33.836878807,-84.24920453,327.503,0.8270000000000001,1789,4547.508568435229,3.795195737498674,-125.8760783144211
33.8369315,-84.2490125,326.1505001,105706,33.836878516999995,-84.249204621,327.0868,0.831,1789,4547.476102346031,3.7867720208060898,-125.45990144183266
33.8369315,-84.2490125,326.1505001,105707,33.836878075,-84.249204863,326.6703,0.8390000000000001,1789,4547.42677542379,3.7643708848765653,-125.04343664386204
33.8369315,-84.2490125,326.1505001,105708,33.836877871999995,-84.249204866,326.2528,0.8390000000000001,1789,4547.403958902468,3.764092950334937,-124.62595286201528
33.8369315,-84.2490125,326.1505001,105709,33.836878593,-84.249203695,327.4961,0.8270000000000001,1789,4547.4848255520965,3.8724881442722556,-125.86919525341071
