sign_id,lat_sign,long_sign,alt_sign,index,lidar_lat,lidar_long,lidar_alt,retro,mutcd_code,count,car_lat,car_long,car_alt,overhead,alt_diff,x_cart,y_cart,z_cart,frame,physical_condition,cluster_group
18454,33.74010415,-84.49983619,275.6159746,445398,33.740079931,-84.49981052,273.3127,0.792,D9-18,381,33.73999371,-84.49999989,273.1,Ground,0,-6161.542514655406,-23219.57886155275,-28.10584151418593,16970,Good Condition,-1
18454,33.74010415,-84.49983619,275.6159746,445405,33.74008043,-84.49981141399999,274.5037,0.8079999999999999,D9-18,381,33.73999371,-84.49999989,273.1,Ground,-1,-6161.488117688578,-23219.665903744837,-29.29658614929346,16970,Good Condition,-1
18454,33.74010415,-84.49983619,275.6159746,445406,33.740080428,-84.499811515,274.1078,0.8,D9-18,381,33.73999371,-84.49999989,273.1,Ground,-1,-6161.487932937529,-23219.673824057627,-28.90065472200071,16970,Good Condition,-1
18454,33.74010415,-84.49983619,275.6159746,445407,33.740080422,-84.499811616,273.7123,0.804,D9-18,381,33.73999371,-84.49999989,273.1,Ground,0,-6161.488192263075,-23219.68174689912,-28.50512285700136,16970,Good Condition,-1
18454,33.74010415,-84.49983619,275.6159746,445408,33.740080468,-84.499811674,273.317,0.7959999999999999,D9-18,381,33.73999371,-84.49999989,273.1,Ground,0,-6161.482693526707,-23219.68567172049,-28.109811115387878,16970,Good Condition,-1
18454,33.74010415,-84.49983619,275.6159746,445414,33.740080986,-84.499812453,274.8954,0.8079999999999999,D9-18,381,33.73999371,-84.49999989,273.1,Ground,-1,-6161.42659053499,-23219.763460779814,-29.687993795887042,16970,Good Condition,-1
18454,33.74010415,-84.49983619,275.6159746,445415,33.740080843,-84.499812675,274.5017,0.804,D9-18,381,33.73999371,-84.49999989,273.1,Ground,-1,-6161.442020662332,-23219.782639941237,-29.29420630080471,16970,Good Condition,-1
18454,33.74010415,-84.49983619,275.6159746,445416,33.740080927,-84.49981269999999,274.1096,0.804,D9-18,381,33.73999371,-84.49999989,273.1,Ground,-1,-6161.432317429272,-23219.783508101948,-28.902109773220534,16970,Good Condition,-1
18454,33.74010415,-84.49983619,275.6159746,445417,33.740080842,-84.499812871,273.7172,0.804,D9-18,381,33.73999371,-84.49999989,273.1,Ground,0,-6161.441326830518,-23219.79795027756,-28.509645739884906,16970,Good Condition,-1
18454,33.74010415,-84.49983619,275.6159746,445418,33.740080807,-84.499812998,273.3253,0.8079999999999999,D9-18,381,33.73999371,-84.49999989,273.1,Ground,0,-6161.4448005277345,-23219.808303392012,-28.11770194476573,16970,Good Condition,-1
