sign_id,lat_sign,long_sign,alt_sign,index,lidar_lat,lidar_long,lidar_alt,retro,mutcd_code,count,car_lat,car_long,car_alt,overhead,alt_diff,x_cart,y_cart,z_cart,frame,physical_condition,cluster_group
18656,33.91376866,-84.39790145,328.1231547,43509,33.913754036,-84.397892526,328.8519,0.843,D10-4,257,33.913849799999994,-84.39794478,328.2415,Ground,0,13084.872046742727,-13747.276783582169,-100.58312718371737,1815,Good Condition,0
18656,33.91376866,-84.39790145,328.1231547,43510,33.913753942,-84.397892587,328.6112,0.843,D10-4,257,33.913849799999994,-84.39794478,328.2415,Ground,0,13084.861132268328,-13747.281921876503,-100.34243752320656,1815,Good Condition,0
18656,33.91376866,-84.39790145,328.1231547,43511,33.91375389,-84.397892711,328.3707,0.843,D10-4,257,33.913849799999994,-84.39794478,328.2415,Ground,0,13084.854885512605,-13747.29288025393,-100.10192572428817,1815,Good Condition,0
18656,33.91376866,-84.39790145,328.1231547,43512,33.913854217,-84.398042315,326.4997,0.435,D10-4,257,33.913849799999994,-84.39794478,328.2415,Ground,2,13095.999900421042,-13761.10847332534,-98.17820189506612,1815,Good Condition,1
18656,33.91376866,-84.39790145,328.1231547,43513,33.913755338,-84.39789166899999,329.5584,0.439,D10-4,257,33.913849799999994,-84.39794478,328.2415,Ground,-1,13085.017812861533,-13747.19883811682,-101.28949803115569,1815,Good Condition,0
18656,33.91376866,-84.39790145,328.1231547,43514,33.91375518,-84.397891633,329.3214,0.471,D10-4,257,33.913849799999994,-84.39794478,328.2415,Ground,-1,13084.999793772651,-13747.195023854267,-101.05254228865805,1815,Good Condition,0
18656,33.91376866,-84.39790145,328.1231547,43515,33.913755041,-84.397891624,329.0842,0.463,D10-4,257,33.913849799999994,-84.39794478,328.2415,Ground,-1,13084.983885474223,-13747.193703137727,-100.81537683319084,1815,Good Condition,0
18656,33.91376866,-84.39790145,328.1231547,43516,33.913755099,-84.397891906,328.8471,0.475,D10-4,257,33.913849799999994,-84.39794478,328.2415,Ground,0,13084.989868686102,-13747.219263412575,-100.57820843006631,1815,Good Condition,0
18656,33.91376866,-84.39790145,328.1231547,43517,33.913754983000004,-84.397891932,328.6099,0.498,D10-4,257,33.913849799999994,-84.39794478,328.2415,Ground,0,13084.976516363542,-13747.221175890138,-100.34103075056903,1815,Good Condition,0
18656,33.91376866,-84.39790145,328.1231547,43518,33.91375496,-84.397892096,328.3729,0.51,D10-4,257,33.913849799999994,-84.39794478,328.2415,Ground,0,13084.973499008,-13747.235836449996,-100.10400434678779,1815,Good Condition,0
