sign_id,lat_sign,long_sign,alt_sign,index,lidar_lat,lidar_long,lidar_alt,retro,mutcd_code,count,car_lat,car_long,car_alt,overhead,alt_diff,x_cart,y_cart,z_cart,frame,physical_condition,cluster_group
18406,33.78237954,-84.4956603,262.1061761,464842,33.782350109,-84.495639212,263.194,0.753,GSP-1,62,33.78229258,-84.49580898,262.3944993,Ground,-1,-1473.7583589542194,-22821.789239153666,-22.237312312835652,17939,Good Condition,-1
18406,33.78237954,-84.4956603,262.1061761,464843,33.782350213,-84.49563940600001,262.8036,0.725,GSP-1,62,33.78229258,-84.49580898,262.3944993,Ground,0,-1473.7466894710221,-22821.805784975626,-21.846853376133982,17939,Good Condition,-1
18406,33.78237954,-84.4956603,262.1061761,464844,33.782350462,-84.495640324,263.1867,0.745,GSP-1,62,33.78229258,-84.49580898,262.3944993,Ground,-1,-1473.7189551635224,-22821.892115876293,-22.229653690845108,17939,Good Condition,-1
18406,33.78237954,-84.4956603,262.1061761,464845,33.782350409,-84.495640642,262.7993,0.745,GSP-1,62,33.78229258,-84.49580898,262.3944993,Ground,0,-1473.724673773231,-22821.92019927053,-21.84214950073518,17939,Good Condition,-1
18406,33.78237954,-84.4956603,262.1061761,464846,33.782350421,-84.495640907,262.4125,0.745,GSP-1,62,33.78229258,-84.49580898,262.3944993,Ground,0,-1473.7231942877936,-22821.943358562785,-21.455264583674648,17939,Good Condition,-1
18406,33.78237954,-84.4956603,262.1061761,464847,33.782350734,-84.495641502,263.1831,0.765,GSP-1,62,33.78229258,-84.49580898,262.3944993,Ground,-1,-1473.6885223496054,-22822.001140406235,-22.22567103700248,17939,Good Condition,-1
18406,33.78237954,-84.4956603,262.1061761,464848,33.782350648000005,-84.49564184399999,262.79900000000004,0.741,GSP-1,62,33.78229258,-84.49580898,262.3944993,Ground,0,-1473.6978968574988,-22822.03146728616,-21.841458000469107,17939,Good Condition,-1
18406,33.78237954,-84.4956603,262.1061761,464849,33.782350703,-84.495642072,262.4156,0.745,GSP-1,62,33.78229258,-84.49580898,262.3944993,Ground,0,-1473.691656681957,-22822.051200280195,-21.45798645600564,17939,Good Condition,-1
18406,33.78237954,-84.4956603,262.1061761,464850,33.782350839,-84.49564281399999,263.1828,0.7609999999999999,GSP-1,62,33.78229258,-84.49580898,262.3944993,Ground,-1,-1473.6765847051502,-22822.122632466435,-22.224939549365434,17939,Good Condition,-1
18406,33.78237954,-84.4956603,262.1061761,464851,33.782350953000005,-84.495642993,262.8026,0.745,GSP-1,62,33.78229258,-84.49580898,262.3944993,Ground,0,-1473.6638116878735,-22822.137822733377,-21.844685777207236,17939,Good Condition,-1
