sign_id,lat_sign,long_sign,alt_sign,index,lidar_lat,lidar_long,lidar_alt,retro,mutcd_code,count,car_lat,car_long,car_alt,overhead,alt_diff,x_cart,y_cart,z_cart,frame,physical_condition,cluster_group
18906,33.63350305,-84.49001625,318.3200095,394913,33.633170035,-84.490008534,316.6757,0.478,I-2,385,33.63332236,-84.49012006,318.2,Ground,2,-18022.383217464787,-22339.03565690649,-52.04351709476141,14543,Good Condition,1
18906,33.63350305,-84.49001625,318.3200095,394914,33.633172452,-84.490009683,316.6819,0.51,I-2,385,33.63332236,-84.49012006,318.2,Ground,2,-18022.11489087715,-22339.141663194103,-52.05010718907054,14543,Good Condition,1
18906,33.63350305,-84.49001625,318.3200095,394915,33.633175023,-84.490010823,316.6854,0.541,I-2,385,33.63332236,-84.49012006,318.2,Ground,2,-18021.829476818588,-22339.246785220097,-52.054048791399936,14543,Good Condition,1
18906,33.63350305,-84.49001625,318.3200095,394918,33.633177552,-84.490011965,316.6878,0.537,I-2,385,33.63332236,-84.49012006,318.2,Ground,2,-18021.54871786819,-22339.352099799235,-52.05687649374282,14543,Good Condition,1
18906,33.63350305,-84.49001625,318.3200095,394921,33.633180048,-84.490013108,316.6921,0.557,I-2,385,33.63332236,-84.49012006,318.2,Ground,2,-18021.271624465247,-22339.4575223234,-52.06159342810377,14543,Good Condition,1
18906,33.63350305,-84.49001625,318.3200095,394924,33.63318246,-84.490014258,316.6995,0.5760000000000001,I-2,385,33.63332236,-84.49012006,318.2,Ground,2,-18021.0038556604,-22339.563626861942,-52.06938155469678,14543,Good Condition,1
18906,33.63350305,-84.49001625,318.3200095,394927,33.633185069,-84.490015395,316.6999,0.643,I-2,385,33.63332236,-84.49012006,318.2,Ground,2,-18020.714218473324,-22339.66844985311,-52.07023608946693,14543,Good Condition,1
18906,33.63350305,-84.49001625,318.3200095,394930,33.633187424,-84.490016547,316.7077,0.706,I-2,385,33.63332236,-84.49012006,318.2,Ground,2,-18020.45277283706,-22339.774756061066,-52.078405558818005,14543,Good Condition,1
18906,33.63350305,-84.49001625,318.3200095,394933,33.633190047,-84.490017684,316.7099,0.7140000000000001,I-2,385,33.63332236,-84.49012006,318.2,Ground,2,-18020.16158786417,-22339.87958172332,-52.081064463006626,14543,Good Condition,1
18906,33.63350305,-84.49001625,318.3200095,394936,33.633192533,-84.490018827,316.7134,0.706,I-2,385,33.63332236,-84.49012006,318.2,Ground,2,-18019.88560138981,-22339.985004001133,-52.08497818212428,14543,Good Condition,1
