sign_id,lat_sign,long_sign,alt_sign,index,lidar_lat,lidar_long,lidar_alt,retro,mutcd_code,count,car_lat,car_long,car_alt,overhead,alt_diff,x_cart,y_cart,z_cart,frame,physical_condition,cluster_group
4793,33.77341107,-84.23536032,287.7789038,288968,33.773541101,-84.235430666,286.7272,0.51,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2478.0982485538957,1279.7175530192014,-86.11583035376646,7480,Good Condition,-1
4793,33.77341107,-84.23536032,287.7789038,288973,33.773541195,-84.235430191,286.7379,0.545,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2478.0878200346056,1279.761554621378,-86.12652560316175,7480,Good Condition,-1
4793,33.77341107,-84.23536032,287.7789038,288978,33.773541406,-84.235429759,286.7424,0.475,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2478.0644116063786,1279.8015700054414,-86.13102670844307,7480,Good Condition,-1
4793,33.77341107,-84.23536032,287.7789038,289538,33.77373805,-84.235461207,286.6474,0.412,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.252363897942,1276.8854992697638,-86.04507787244408,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289539,33.773738559,-84.235461394,286.6331,0.471,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.1959007297837,1276.8681664583328,-86.03080315832695,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289540,33.773739361,-84.235461707,286.6455,0.443,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.1069489165016,1276.8391628598097,-86.04324333764478,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289549,33.773737694,-84.23546052,286.6362,0.459,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.2918397473427,1276.949141296484,-86.03384988686994,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289550,33.773738549,-84.235460856,286.6533,0.4270000000000001,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.197011100344,1276.9180072875495,-86.05099276462772,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289551,33.773739169,-84.235461092,286.6517,0.4270000000000001,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.1282409620635,1276.8961363443952,-86.0494237152767,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289559,33.773736033,-84.235459336,286.6284,0.412,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.4760656546464,1277.0588420495212,-86.02595674135496,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289560,33.773737039000004,-84.235459735,286.6562,0.439,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.364492506481,1277.0218720499452,-86.05380726332442,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289561,33.773737703,-84.23545998899999,286.6569,0.431,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.2908428550945,1276.998333515292,-86.05454043582823,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289562,33.773738314,-84.235460221,286.6547,0.4270000000000001,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.223070745051,1276.9768331145128,-86.0523709286057,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289563,33.773738877,-84.23546043399999,286.6493,0.431,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.160621481656,1276.9570928184155,-86.04699901019302,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289571,33.773735343,-84.23545853600001,286.6455,0.412,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.552599421981,1277.1329622417272,-86.0430123373433,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289572,33.773736011,-84.235458791,286.6447,0.459,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.4785055097605,1277.1093307128654,-86.04224570263237,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289573,33.773736764,-84.235459083,286.653,0.435,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.394987094627,1277.0822723157269,-86.05058339642866,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289574,33.773737275,-84.235459272,286.6417,0.443,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.3383032636216,1277.0647548043648,-86.03930880712721,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289582,33.773735076,-84.235457888,286.6368,0.455,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.582204546257,1277.1929907566755,-86.03428888637825,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289583,33.773735951999996,-84.235458233,286.6557,0.439,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.485047319652,1277.1610230960566,-86.05323283636787,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289584,33.773736524,-84.235458448,286.6499,0.435,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.421599614945,1277.1410973173504,-86.04746134427609,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289585,33.773737186999995,-84.235458704,286.6537,0.416,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.3480621109234,1277.1173741493494,-86.0512945119609,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289593,33.773734147,-84.235456989,286.6264,0.443,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.685237123328,1277.2762796810755,-86.02383239965977,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289594,33.773734983000004,-84.23545731600001,286.6417,0.435,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.5925152134405,1277.2459792894456,-86.03917430175461,7480,Good Condition,0
4793,33.77341107,-84.23536032,287.7789038,289595,33.773735609,-84.23545755399999,286.6406,0.4270000000000001,D9-18,324,33.77360791,-84.2353154,288.5,Ground,2,-2456.523079754601,1277.2239230868124,-86.03810555177016,7480,Good Condition,0
