,sign_id,lat_sign,long_sign,alt_sign,index,lidar_lat,lidar_long,lidar_alt,retro,mutcd_code,count,car_lat,car_long,car_alt,overhead,alt_diff,x_cart,y_cart,z_cart,frame,cluster_group
582,1977,33.81111584,-84.25136055,311.2318267,129763,33.811094396,-84.251357594,313.4782,0.7490000000000001,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.3733137697534,-195.56304585127955,-113.25120763531812,6557,-1
583,1977,33.81111584,-84.25136055,311.2318267,129764,33.811094591999996,-84.251356976,313.4753,0.7759999999999999,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.395053018266,-195.5058226375432,-113.24830361597046,6557,-1
584,1977,33.81111584,-84.25136055,311.2318267,129765,33.811094771,-84.251356363,313.4667,0.784,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.414905047972,-195.44906225329075,-113.23970008126342,6557,-1
585,1977,33.81111584,-84.25136055,311.2318267,129766,33.811094569,-84.25135588,313.7532,0.7290000000000001,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.3925734594354,-195.40434890185952,-113.52620739093216,6557,-1
586,1977,33.81111584,-84.25136055,311.2318267,129767,33.811095026,-84.25135572399999,313.461,0.7879999999999999,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.443188055302,-195.38989435961787,-113.23399438369036,6557,-1
587,1977,33.81111584,-84.25136055,311.2318267,129768,33.811094687,-84.251355289,313.7487,0.7609999999999999,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.4056602293476,-195.3496258338757,-113.52170559006464,6557,-1
588,1977,33.81111584,-84.25136055,311.2318267,129769,33.811095058,-84.251355163,313.45799999999997,0.7879999999999999,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.4467357771937,-195.33794933561526,-113.23099502957905,6557,-1
589,1977,33.81111584,-84.25136055,311.2318267,129770,33.81109504,-84.251355174,313.1677,0.7140000000000001,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.444662081358,-195.33895902195167,-112.9406955393135,6557,-1
590,1977,33.81111584,-84.25136055,311.2318267,129771,33.811095108,-84.251354592,313.7382,0.784,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.4523553142062,-195.2850869996308,-113.51119516533916,6557,-1
591,1977,33.81111584,-84.25136055,311.2318267,129772,33.811095211,-84.25135456,313.4494,0.7879999999999999,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.4637037907653,-195.28211494570456,-113.22239223332642,6557,-1
592,1977,33.81111584,-84.25136055,311.2318267,129773,33.8110954,-84.251354498,313.161,0.757,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.4845918185943,-195.27636491031456,-112.93398685343858,6557,-1
593,1977,33.81111584,-84.25136055,311.2318267,129774,33.811095209,-84.251354007,313.7308,0.7879999999999999,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.463555608901,-195.2309194426415,-113.50379384744406,6557,-1
594,1977,33.81111584,-84.25136055,311.2318267,129775,33.811095424,-84.251353936,313.4437,0.769,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.4873280013724,-195.2243360488939,-113.21668772684937,6557,-1
595,1977,33.81111584,-84.25136055,311.2318267,129776,33.811095768,-84.251353819,313.1572,0.784,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.5254097167874,-195.21349308854874,-112.93017793826598,6557,-1
596,1977,33.81111584,-84.25136055,311.2318267,129777,33.811095388000005,-84.251353395,313.7262,0.765,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.4834087050835,-195.17425177368497,-113.4991903092129,6557,-1
597,1977,33.81111584,-84.25136055,311.2318267,129778,33.811095508,-84.251353358,313.4407,0.6859999999999999,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.4966437629955,-195.1708168206352,-113.2136868897007,6557,-1
598,1977,33.81111584,-84.25136055,311.2318267,129779,33.811095774,-84.251353268,313.1556,0.792,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.5260737944684,-195.1624741035112,-112.9285793207452,6557,-1
599,1977,33.81111584,-84.25136055,311.2318267,129780,33.811095428,-84.251352829,314.0002,0.741,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-2,1687.4879173614859,-195.1218522282639,-113.77319072345851,6557,-1
600,1977,33.81111584,-84.25136055,311.2318267,129781,33.811095927,-84.251352665,313.1487,0.7759999999999999,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.5430422585255,-195.10663976782834,-112.92167652057846,6557,-1
601,1977,33.81111584,-84.25136055,311.2318267,129782,33.811096158000005,-84.251352588,312.8657,0.7020000000000001,W4-3,81,33.81115918,-84.25124577,312.5,Ground,0,1687.5685905150208,-195.09950091060253,-112.63866994464423,6557,-1
602,1977,33.81111584,-84.25136055,311.2318267,129783,33.811095424,-84.25135228100001,313.9914,0.769,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.487470289047,-195.07111081911327,-113.7643923923428,6557,-1
603,1977,33.81111584,-84.25136055,311.2318267,129784,33.811095968000004,-84.251352098,313.4263,0.7490000000000001,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.5476627977584,-195.05414773969886,-113.19927690858498,6557,-1
604,1977,33.81111584,-84.25136055,311.2318267,129785,33.811096027,-84.25135208100001,313.1444,0.7490000000000001,W4-3,81,33.81115918,-84.25124577,312.5,Ground,-1,1687.554132455718,-195.0525649075706,-112.91737522782906,6557,-1
